scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U2 R U' F2 D' L2 U F R' F',B D' B D B2,B2 F U' B' F U B F' L' U B2 F',L' F2 L B2 L' F2 L B2,35
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U2 L2 U' B' F2 R' U' B' U L,R B2 R D R2 U2 L U2,L2 U L F2 R2 B2 R2 F2 L U' L2,F' L2 F R' F' L2 F R,37
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L2 B2 F2 L' F' U F L2 F R',L' R B' L' B L D R' B',R2 F2 D2 F' D B D L' F' L B' F' R2,R' D R' D R D2 F2 U L U' F2 R,44
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U2 B' L2 U2 L F D2 R B' U' B',B L R B L' B' D' R',L F' L D L' D2 U2 R D U2 L' F L',,32
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R' U2 L U' R2 U2 R F U R,L' B' D L2 D' B' L2 B2 L B2,F' L2 D2 U' F' D U' R D U2 L2 F,B U' L' B' L U2 R' U L2 F L2 U2 R,45
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L U' L D2 B2 D2 R U',B' U' B' L2 B' L2 B2 U,F L' F2 L F D' B' U L D' U' B D2,F2 U' L B' L' B2 D2 F' R' F D2 B' U F2,43
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R' F R2 U F D B U2 B' D',B U' L B2 U' L2 U B2 U B2,L' U R B' L D B2 R' B' L' U' B' L2 B',U L2 F' L' U' F' U L F L' U L' U2,47
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L' B D2 B L' D' B2 L B2 F2,F2 R D' B D B' R' F2,L' D F R' B U B2 L2 B R F' D L,L U' B2 U L' R2 U2 L' D' L U2 R' D2 R',45
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,U L D' B' U B L2 F D' B2 D2,U' R B' L' B R' U,R2 D2 R F' R' F D' R2 U2 L' U B2 U,R' F' L F2 L F2 L2 F' L U L' U' F2 R,45
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,U' L2 U2 B' R U F D2 L F,F2 U2 L' D F2 D' L U2 F2,D' R2 U F L2 U' R U2 B' U' L2 U' R D2,U' L U2 L R2 D F D L' F' L' R2 U' B',47
F2 L2 D U R2 B' D' R' L2 U2 L' F2 B2 U' L' F2 B' R' F2 U B L R B2 R2,x2,D2 R' D' B' F2 U L' F' L2,B R2 B R D' R' B' R2 B',,U2 F' L U' F' L' F2 L F2 U F L' U2,31
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,B' R' B2 L2 D2 L' D U2 B' L,B U' L' B2 L' B L' B U,L2 R D' L2 D L2 R' B L B2 L' B',L' F' R' F R F2 U2 B L B' U2 F2 L,44
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,L' D' F2 D' B2 F' U' L U2 F2,L F2 D' B2 D F2 L',U2 L2 U B' L' B' L2 U B R B D2 R',R' F' L2 F R F' L2 F,38
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,L U2 B2 L F2 L2 F' U2 R' F2,B' D' B' D R D R',L2 U R B' U' L2 U B D R' B' U',U2 L2 R' F L' F2 R U2 F U2 F' L',41
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,L B R' B2 F2 U' B2 D' R2 D' F',R2 B D' B' D R2 D' B' D,U2 L D' F' L2 F' R B2 D2 F2 L B D,R2 B2 R' U R' U' R2 B2 L' D' L R2,45
F B2 D' L' F2 B2 U' B L B' D F' R2 B D L U2 L2 U F' L2 F' R,x2,D' L' U2 B2 U B' U2 B' R2 U,B2 D2 U L D L' D2 U' B2,U2 L2 F' D2 L' D' L D2 F U2 R2 D' R2,D B U' B' D2 B2 D' U B' U R2 U' R2 D2,46
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,F2 R B U2 B' D' R B' U',B2 U' L2 D' U R' B' R D,L2 F' D' F2 L' U2 B2 U2 L' F2 D' F L2,R B L' B' L2 U2 R' F' R U2 L' R',43
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,U L F R' D2 B' R B' L2 D2 U2,D' B' D2 U' L D' L U B2,U2 L U B R D' R' D' B D U' L' U2,B L' B' L2 U2 R' F' R U2 L',43
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,B2 F' U' B L' R2 B2 F R' U,U B R' U2 F U2 R B' U',D B R2 U2 F2 L2 F2 L2 F' U2 R2 D,L2 U2 B' R2 B U B D F2 D B' U F,44
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,B2 L B U' R' B D2 B' F2 L,L U2 F' L' F L U2 L2,B2 U L F L B' F U' B F2 L' U' B2,F2 U' L B' L' B2 D2 F' R' F D2 B' U F2,45
