scramble,orientation,step_0,step_1,step_2,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U F U L' B2 L' D' B L' U F2,F' L2 B2 L U F R2 D F' U' L F' R' F2,L D F2 D L R' B' D2 L2 R2 F' R',37
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F L U' L D F2 R2 B' L U' F,F R D2 L2 D' B' R' B' D' F' R F U' F',R' F R2 B' R2 F' R2 U' B R' B' U R' B,39
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F2 L' B2 U R F' D' R',D' B2 R' U B2 U L D B2 U L2 R' B2,U2 B' R B U2 F2 L B D' F D B' F L',35
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,L F D2 F' D R U2 F' R' B,B D2 F' D B2 D' R U' R2 D' B L2 U F',B' L D2 B' D B D L' B' L D L' B2,37
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,D' U' L' F2 L2 R2 D' B U' R,R' D U' B' D L' B L2 D2 U' F2 U' F' U',L2 B' D2 B2 L B' U' L F U' F2 R2 F U2,38
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F D' F2 L2 B R' D' L2 U' B,B' L B L' F' D2 U F' U' R' B' D2 B2 F,,24
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F' L R B2 D B' R' F' R' U',L D2 L' D' L2 B' F' U2 B' R2 B2 L2 D,U2 L' F' L2 B D L2 D' F' D F2 L' B' L2 U2,38
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' D' U2 B R' D2 R2 B' D' B2,L D U R D' B' R' B2 L2 U' L2 B' U' L',F' U F' R2 U' L2 D R B D' R2 U R' U' L2 F,40
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,D' B2 U2 B' D' B' L2 U R' U2,B2 L B2 D R2 U2 R' U L2 U L F2 D2 B2,R F2 L' R U' L' U R' U' R2 D B' R D' L2 F',40
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R2 D R2 U B2 D' L' U B2 F,D R2 U B R D U' R B' R' U' B2 D2 F,R U' L2 B D' B R2 B' D B' L U R' U L U',40
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,U2 B' D2 R' B' U F2 D F L,B' D' F' R2 F D2 F2 R F2 D' B D B' D',R D' F L' R U' F R' F' L R' D,36
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,F' D' L2 F2 U' R' B U F,U2 R2 U2 F' R2 D' U L2 U2 L' D U',D' L2 F L' F' L2 D L D2 F' D F D2 L',35
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,U R' D' U2 L' F R U' F D2,U F' D' U2 L U' F U2 R2 D B D' R2 D,D R2 F' L2 U2 R2 B' L2 D,33
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,D' B F2 R D B L2 U' F',D2 B' D' R' U2 B U R' U R2 D',F' U F' R F U' B2 D' L' D' L D2 B2 F,34
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D' F L D2 R' F2 U B D L,D L U' L' D' R' B' R2 B D R' D B D2,B2 U R2 D' R U R2 U F2 D U2 R B2 U',38
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F' D' R2 U R' B' L' D' U2,F' D' U F2 U F2 L D2 U2 B2 D' R2 F,B' R2 D2 B2 U L' U L' B2 D2 B F2 U2,35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D' L R2 B L' D2 L D F,F' D2 U' B' U' L2 D2 U' F' U' F' R' F2,U' B' F R2 B F' U',29
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L2 R2 F' L2 B' U' R' D2 L2 F,D R2 U2 B U' R D2 F2 D F2 R' F U' F,U B' F R' F R' B F' U F',34
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D' R2 U2 B2 U2 R' B D R F,F2 U' R U B' L2 U' F' U2 F U L2 B F2,U' F U' F R2 F2 U' R' U L' U2 L R U2,38
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,F2 D2 B' D' L2 F' R' U2 F D2,R' D B U B U B' F R' F' R' D' F U',R' F2 R B' R2 D B R B' D' R F2 R B,38
