scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,B' L2 D R' F' L2 D' F' D L,U' F' L' D' B' D U' L U B L F U,B D' R D B' R U' B U R',R' B R2 D2 B L B' L' D2 R2 B2 R B,46
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' R D' B' D L' R2 F' U2,B U2 R' F2 L' D' L D2 F2 R U2 B',B D' R D B' R U' B U R',U' B D2 U' B F2 D2 B' U B2 U2 F2 U' B,45
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L F' U2 B L2 D' L2 F' R,R B2 R U B F D2 F' R' B' U' B2 R2,,R' U R' D' L' F2 L D2 R' D' R' U',34
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R F2 L2 U F' D2 U F' R,B' U2 B2 U' B2 U' B' R' B' U' B R,B D' R D B' R U' B U R',U F' U' B' U F2 D F' U' F D' B F',44
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L R2 B U' L2 U2 L2 R B U',D' U R' D U2 F2 L F2 U B,B D' R D B' R U' B U R',U2 F' L F' L' F2 U2 R B' R B R2,42
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,R2 B R' B2 D2 B' U L' U2 B,B2 F' L2 U L2 B2 L2 U' L' B' L' B' F,R U R' U B2 R U R' B2 U2,U2 R2 B2 L U L' U' B2 R2 U' R U' R',46
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,B2 D' B' U' B2 R U R F',B2 F D' R F D' B2 D' B2 F' R' D F',,U F' U F' U' F2 U' F2 U2 F U2 F,34
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,F' D U' B' F U' F2 L' D B2,B2 F' U' B2 U L B' U B' U L' B2 F,R U R' U B2 R U R' B2 U2,B U' B D2 U B2 D2 B' D2 B' D2 U' B2 U,47
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,U' R U2 L' D' L2 F U' F' D',F D2 B F R D' R' D F' D2 F',B D' R D B' R U' B U R',L F' L' R' U2 R U2 B U2 L U2 F U2 L' B',46
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,F L2 R2 D2 R' U' L2 F' U' R,D' U' B2 U L2 R D' R2 D L2 B' D,R2 B' R2 B' R2 B' R2 B2,F D B' U F' U2 B2 U B U F D' R2 U' F',45
