scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B F' U2 L' F' L2 R B U B2,L' B F D F2 D' F2 D2 F D B' L',F2 U2 F L' F' U2 F2 U' B' U' B L' U2,,35
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L2 F' D' U' L' D' F R' D2 L,D F U L2 F2 L2 F' D2 F D F U',D2 U2 L' D F L' U L2 U' L' F' D U2,,35
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F' L' U L2 U2 B F R' U2,B2 R D2 R2 D2 R2 F' L' R F2 L B2,L2 U' L B L2 U L B' U B U2 B' L,,34
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,F' L' B F' U2 R D' F' U2 B' L',R D' F R2 F' R U2 R D R' U2,L' F2 R B' R D R2 F2 R B R' U' L,R2 B U' B2 D B2 U B D' B2 U R2 U',48
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U' L' U F' L2 R U2 B2 F',F2 L' U2 B2 R' B' L' D2 L2 B' U2,U2 L' F R U R' F' U2 B' U' B L' U,U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F R2 B2 D2 L R' D' B' R2 U',U' B2 F' R2 B2 U' R U R' F U F,L' B' U2 B R' F' U L U' L F L R,,35
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,B' L U2 L2 B U R' U2 B,U' B' R2 U' R F R2 U2 B L F2 L',U' B2 F2 D' R' D R B R' B F2 U,U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R D R' B D F R' B2 D' U2,B2 R' U' R2 F' R2 F U F R B2,U2 L' B' L2 D' B' D L2 B L' U2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,45
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D2 L' D B L2 R2 B' R' D2 R,F2 U2 B' U R2 F' R F U' B U2 F2,U L' U2 L B' U' B U L' U2 L2 U L' U2,R2 B U' B2 D B2 U B D' B2 U R2 U',49
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R' B L' R2 D2 F' R U B2 U',U2 L' D L B2 U F' R' F U' B2 U2,L' B2 F2 R D' R' B2 F2 L U,U R2 U' B2 D B' U' B2 D' B2 U B' R2,45
F B2 D' L' F2 B2 U' B L B' D F' R2 B D L U2 L2 U F' L2 F' R,x2,D2 F' D' B2 R D2 U2 R B' U',D2 F D L2 F L D' L F' D2,D U F' U' F D2 U L2 D F' U' F2,,32
F2 L2 D U R2 B' D' R' L2 U2 L' F2 B2 U' L' F2 B' R' F2 U B L R B2 R2,x2,B2 L B' D' F D' B2 U' L',F' U F' U' F U L' B D2 B' L U',L' B2 L2 F R B' U2 B R' B2 F' L,,33
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,R' D' U' F2 D2 L B' F R D' L',L' U F2 U' F U2 B D2 B' U2 F L',U2 L U' L2 U2 L B L' B' U2 L U',R2 B U' B2 D B2 U B D' B2 U R2 U',48
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,L2 F2 R' F' L' R F L B U,F U B' U2 R2 D' F' D B U F',D' B2 U L2 D F D2 U2 B' D2 L2 U F2,R2 B U' B2 D B2 U B D' B2 U R2 U',47
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,F U B' R' D' B' L B' D2 R,U2 L2 B L D' L B' U2 R' F2 R,U2 L' U' F' L' D' L2 D L F U L2 U2,R2 B U' B2 D B2 U B D' B2 U R2 U',47
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,U2 F D2 L2 D' B2 L' R2 B2,F2 R U2 R' B2 R B' U' F2 U B' U2,F' D B R2 B' D2 F2 U F' L2 D U',U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,L' F' L' R2 U B2 D' U2 R2,U2 F L F' U' B2 R F2 R' B2 L' U',U F L' B' R U R' B L F U' F2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,F2 D' U' R2 D' L2 F R' D2 U B',D' U' B2 U' B L B D B D B' L U2,R' U' F2 D' U' B' U' B U' L2 D F' R,U R2 U' B2 D B' U' B2 D' B2 U B' R2,50
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,L F U L' U' R' B' U R',U2 B L2 D2 L B2 U2 R2 U2 B L U2 F,R' F R U' L2 U F' R2 D' B2 D R2 F,U R2 U' B2 D B' U' B2 D' B2 U B' R2,48
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,F2 U L' F L' U2 R U' B',L' F U F L' B' U2 R' B U L2,R' F' D' F' D2 R2 U' B' U R2 D' F2 R,R2 B U' B2 D B2 U B D' B2 U R2 U',46
