scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,F' D2 B D' B2 R2 D2 L F R2,D L B2 L B L2 B L' D' L,R2 F2 D' U2 F L F' L' D' L D2 U2 F2 R2,R2 D2 B L2 B' D2 R2 D F U2 F' D',46
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,B R2 F2 L2 R D U2 R' F L',D U' B D R D2 R' U' L' U2,U2 L D' B' R2 F R F2 R B D L',B2 R F' L2 F R2 F' L2 R B2 R' F R,45
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L' F2 U R' U2 L' B F2 U' L2,L' B' U B2 D2 U' B L B' D2 B',B' R' U R B U2 B' R' U2 R B U,R F' L2 B U2 R2 B' L2 F D2 R,44
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,U L B' D L R' D2 L U' F,D' U F' U2 B' D U R2,U' B D' B' R' D' B D' B' D2 R U,L U' L' D2 U R U' L U L' R' D2,42
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,U2 F2 L2 U B L' D2 L',D' R D' R F' D R F R D,F U' B U L2 R' B R' U R2 U' B' L2 F',B2 L' R' F L F' R B2 F L' F' L,44
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D2 F U' R2 U' F' L U' R,F' D2 F L U L B L' U' L',U L' U L2 R2 U' L F' L2 F U R2 U2,F' L2 F R' F' L2 F R,40
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B' F' U F L' B2 U F' L F2,R2 F2 R' B' F' D' B F' R',F U2 B' U R2 U R2 U2 B U2 F',F' R' F2 R' B R F2 R' B' R2 F,41
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,R2 B F L2 F' R U2 R B' U' R',F2 R B' F D' B F,B' D2 L' B U' L U B' L D' B D' B,R' D' R U L F2 L' U2 R U R D R2,44
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B L' D2 B R2 D' L B' F' L,F2 D' R B R' B' D' R2 D2 F2,F2 U' B' R' U R' U' R2 B U F2,R' F R F2 U2 B' L' B2 L' B2 L2 B U2 F,45
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U F L' B' D U2 B2 F2,D' R B L D L' R' B' D,B L' U' B2 R' B U R D' B' D L U,B D2 F U' F' D F D U B2 D' F' D B,44
