scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,F' U2 R' F D' L2 B' F2,F R F R D2 R D2 R2 D F2,B2 R' U R' D2 R' D2 R2 U' R B2,F U' B L2 D2 B U F' D R2 B2 D,41
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,L2 U2 L2 B U' L D',R2 B F2 R' D F D' B' R F2 R,B U' B U F U2 B2 U2 F' L2 B' L2,F' L' F2 R2 F L' F L' B2 L' F R2 B2,43
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' L2 D B2 D2 F L F2,F2 D2 B R F2 R' F2 R2 B' D' R',D L' D U F' D' F D' U' L,B L R2 F' L F R2 F' L2 B' L F L',42
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,R2 B2 F U' F2 D2 B' L R,D' B2 F2 U2 L' B' F2 U2 B' D2 R',R2 B R2 D2 R D2 B' R D2 R2 D2 R,F U' B L2 D2 B U F' D R2 B2 D,44
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F2 D' B L B' L' F' R2,F' D' B' U L2 F' D U' B F',L B R B' L' B R' B',U2 L' D' L U2 L' D L,34
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,R' B' F U2 L' D' L2 B2,R' U' L B' D2 B' D2 L' R D U,R2 D' R B D F D' B' F' R,B D B' U2 B F' D' B' D F D' U2,41
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B D F' U' B2 L' F2,R2 B F D R2 D2 F' D R2 B' R2,B R2 D2 R' D' R' U R D' R' U' B',U' L' D' L U L' D L,38
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,R2 B2 L B R U' L' D F',B' F D2 B R F' R,L U2 L2 U2 B' L2 B U2 L' U2 L2,B2 D B' U2 B D' B' U2 B',36
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B F L B' R' U R',F' D F2 D' B L2 R2 U' L2 R' B' F,F2 D' B D F2 R D' B' D B R' B',L F' L' B L2 F R2 F' L' F L' R2 B',44
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,U L2 U2 L2 D F U B',F D R2 F2 R' F D R' D2 R2,U2 B R2 D2 F' L2 F R' D2 R' B',F2 L B L' B' D2 B' R' B D2 F2 U2 L' U2,43
