scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,B2 R' D L',D2 L' D2 L D R2 B' R2,R2 U B2 U' L R2 F2 L',B' L F' U' F L' B2 R' B2 U' B' R2 U' B2,R U' R' U' R2 D B U B' D' U' R2 U2,47
R2 B F U R' U' L R U2 B' R U2 R' L' U R U' D2 B F' L' B2 F U' R,x2,F L' B2 U' L2,F2 L' F R2 B' R2 F D',,R' B' U2 R2 B D2 F' R2 D2 B' U2 F2 L2 R,F' D L2 R2 U' B U L2 R2 D',37
B L U L2 U R2 F' L2 R' U' R D B R' B' U B F2 R2 U' R',x2,U' R2 F' U',R U' F2 L2 F R' F,L F2 U' F2 U F' L',F2 L2 F2 L2 B' U' R2 F' U' R F' R' B U',F' D' L R' B D B' L' R D,42
U' R F2 R2 B F2 D' U' F2 U B D' B2 L' D2 L' F' R2 D' L D' F,x2,R U2 L2,L2 F L2 R' B' R D2,L2 D B F R' B' L2,L2 F' L' U2 F2 U B' F2 R B U2 L',U' B' D' R' D B U F R F',39
L2 F' B U' D R U F R2 L D' B D' U2 F' U' R2 U' R' B F',x2,F L' B2 D' L' B2,U' B' D2 B2 D2 U R' B D,L D' F2 D L' B2 R' U' B2,D' L2 D B2 R2 F R' F U' R' U R' B2,F' D' L R' B D B' L' R D,47
F2 B2 R F2 B2 D' B L U' R D2 L2 U2 D L2 R2 B' L2 D' L2 B',x2,F' D' L' R' D B2,U' B' R B2 R D B' D2,B' U B R2 U B' U' R2,U L U2 F L' U' B' R' F R2 U R U' B F',R' U B2 F2 D' L D B2 F2 U',47
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,U L' D B2,B2 R B' D' B',B2 L F R F L' U' B2,U' L2 F' L2 B' R2 B L' B D' L B2 U' R' B,F' D' L R' B D B' L' R D,42
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,U R' B2 L2 R2 B,R' D B' D R' U' B2 R2,R U2 R' U R2 B2 R2 U,L' D' L' D2 F' D' B U R F2 R' U' B' F L2,U B2 F2 D' L' D B2 F2 U' R,47
D' R' L' U2 D2 L2 R2 B' F' U2 B2 F' L D' B' U L R2 F L D2 L2 D F R,x2,D2 U F R,D' R2 F' L2 U2 F R' B' D,U2 B' R B R B2 R' U2,B R2 B2 F' L2 B D2 F2 D B D' R B' D2 L2,F' D L2 R2 U' B U L2 R2 D',46
F L B' U2 L B R F' B2 U F2 R B L' U F2 B' D2 B U' D F' L' F2,x2,B L2 U' B2 L U,L' D' B' L B R2 B2 R2,L R F L F R' F D' L2,L' B' U L' B2 D2 R' D' B U F R2 B2 L' D,F2 D2 B' F' L' F L B D2 F' D' F' D,51
