scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,R2 F' D B L U2 L2,F R D' L' U L2 R' B L' F2,,F2 L U2 L U R' F2 R F' L2 F',R D' B2 D R' F2 R D' B2 D R' F2,40
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' L' B' U' R' U',D F' R B' R B L' U' R' F2 D',L2 U' F' U L2 F L2 F',B L' R' D' L' R F L2 B',L' R B L2 U L' U' F' L2 B' L F R',47
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,F D2 B' R F' R,D2 F' D2 R2 F' R' D R',F L2 F' L2 F L2,L' F R U' R B2 D B2 R2 U L,,31
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,L B F2 R' B2 L2 F',F' U2 L' F2 D' R2 B' L' B' R' D,B R' D R B' F L' F',R' B2 L R' U B L2 R2 F' D L,L' D' U F U' F' L' U' L D L,48
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,U2 B' U R' D2 L' U2,U' R2 F' D' U L F' D F' D,L2 F' L F U L U' L,D' L' D L' F' L F L,R2 B' L' R2 F' L F D F' D' R2 B R2,46
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,R F2 D U B2,U2 R D L F' U2 F' D' B' R,F L' U2 L' F' L U2 F L2 F2,R' U' F L' B2 F2 R B2 F U R,D' L2 F' L2 D' L' D' F' D2 F2 D L,48
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,R' U F2 R F2 R U2,D U' L2 D2 L U2 R' D U' B',L' F' L' B2 R2 F2 R2 B2,B2 F' D2 U' R' D' U F D' B2 F,F2 L' F2 R B U' L' U' B L B2 R' U L,50
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,R2 F2 R B R F U,L2 R U B2 D2 U2 B2 R B R2 B',U L F U2 F U2 F2 U' L',B L U2 R2 B R2 U2 L' R' D R B',B' D F' U2 R2 U F' D' F2 U L' F L B,53
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,L' F' R B' D2 U' F2,F U' B' L D L2 F D' L2 B U,L2 F' L F' L F2 L2 F2,B D2 R' D2 B' D2 B D R D B',L' U' R B2 L' B' U L U B' R' F2 L F2,51
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B2 R B' R B' F,F' R2 D2 F D2 L R2 U B' U',F U' L' F' L U F',U B' F U B F' D U' F' D',L F L' R F U2 F' U2 R B L B' R2 F',47
