scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B2 D B' D F,B2 R2 U2 R U' B' L U' F L',B R' F' U2 R' U2 R2 U R' B' R F,D L2 U2 B U2 L2 D2 F D,,36
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L' D U' B L' D,L' B' D2 F R F' L B' R2 B2 U,D2 F' R2 B U' F' U' B2 F' L2 B F' R,D' F D L' U2 R' B' R' B U2 L,,41
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,B' L' D L' U',D' R2 B' L F' U B D' F' D L',R' F D2 B' L' D L2 D2 B D' F2 R F,R F' R D' F D R D' F' D R2 F,F2 D2 B' F' L' F L B D2 F' D' F' D,54
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F L' B D L',B D B U2 B U' R D' B R2 U2,R2 F' R' D' B F' U' F U B' D F R',R2 U F U' F' U2 L2 D' B' D L2 U2 R2,,42
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,L' B' U2 F',B R2 B2 L' B' R B2 D2 L,F2 R2 B2 F' U' F U B2 R2 F2 R',D2 R F' R2 F D2 B R B' R2 F D2 F',,37
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F2 R2 D2 L' B2,L2 D R U' R2 F2 D F' L2 D2,R F' R B U F' L' U2 L B' F2 R,D L R B2 R2 B' R B R B2 L' D' R',F2 D2 B' F' L' F L B D2 F' D' F' D,53
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D' L' F D,L U2 R2 B2 U' F2 R' B' L U2 L2,B F' U2 B' U2 R2 B' R' B R2 U2 R2 F,D L2 U2 B U2 L2 D2 F D,,37
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 R' D' F,R' F' R2 U' R F R2 B U' B2 U2 B2,R F' R' F L2 B' D2 B R B' D B L2,L' F' U L2 D' B D L2 U2 F U L,F2 D2 B' F' L' F L B D2 F' D' F' D,54
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U' B' U' B D L',B' L' B2 D' B L2 F U2 L',F2 L' F R B F' U2 B' L F2 R,U L2 D' B L' F' L B' D L2 U' F' R F,F2 D2 B' F' L' F L B D2 F' D' F' D,53
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F' D' L D L',B' L R' U' L F' L2 R' U2,R2 B F L F U2 L' U' B' U F R' U' F,F D2 F' R2 B R' B' D2 F' R2 F R' D2,,41
