scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,R' D2 F U' L',L' R2 B2 R' D F' R F L,B' U L2 D2 L2 D' R' U' F2 D B2,U R2 F D' B U F2 L2 U B' D F U,38
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,B2 L2 B2 D' B' U2 L',R B' D' U F' U' R' D,D' B2 D L2 D' B' L U2 R' D U F' L U,R' U' R U' L' B2 D L2 U' L2 D' L U',42
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,L U B L' F2,D B2 L' D' R' U R' B' U',B2 L' B2 D L D L D' L' D2 B2 L,D' F D2 F D B F2 U' R2 B' D B U B',40
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D F2 D2 F' R' U',R2 B' D L2 B F2 R' F2 D',D U F2 L U2 L D2 R2 B2 D U B,D U' B2 R' B2 D2 R2 B2 R' B2 R' D U,40
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,D L B2 F' D' L',L' U' B' R2 U R2 D' U L,L2 D U2 L D' R2 F' L F L' D2 R2 U2,D' B U2 R2 B D2 F' U2 L2 F D2 B2 D,41
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B2 U R' B D2,L2 F' L D' R2 B' R' D2 L U',L2 B D2 L2 D2 B2 L2 D B R' B' R B' D,R' U2 R2 F2 U' F2 R2 U' F2 U' F2 R,41
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,B2 L2 D2 R U',L U R2 U' F2 R2 U' F2 L',B' L' R D' L2 B2 D' L' R' B2 D2 R2 D2,B R2 F' D F D2 L2 U B U' L2 D R2 B',41
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,R' F D2 R U2 F,D B' D U2 L U F D2 U,B R B2 F2 U R U' B2 F2 L' D' L R',R2 U2 R2 D R' D' U' L' U' R U L U R U2,43
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,B U2 F' U2 L,L' R D2 L U R2 B2 U' R',U2 L' B2 D2 F' R2 U' B' R D2 B L2 B2 F2 L',L2 D' B' F D F' D2 B D2 B' D' B L2,42
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' U B2 D2,F L D' L' R2 B R' U2,R' D' U F D' B F D2 B' R F' U' L2 B L2,R2 U2 B2 L2 D' F' D F D' L2 B2 U R2 U,41
