scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D' F L' R2 F2 U F,F' L2 D2 F' R D' F D L2 F2 R' B' F' U,R F' D F L R' D' B' D L',F L2 F R2 F' L2 F R2 F2,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R U' L2 U2 F' R',F R2 B U2 R B2 R2 B' U' R2 U R' U F',U' L' U L' B' L2 B' L' B2 L B',F' R D2 R' F R F' D2 F R',41
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U' R' F2 D2 L2 F' R',D2 U2 L' R2 D B' U2 R' B D L2 R2 B,F2 D' R2 D' R' D2 L B' U' B' U L' F2,R' F U2 F' R D2 R' F U2 F' R D2,45
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D2 B L' D' L' D,L U' B D2 B2 L F2 U2 R B D F2 L',R D B D U' L' D' L' D' U B R',R' F U2 F' R D2 R' F U2 F' R D2,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,F L' D' R F2 R',B2 D' L F' L' D' U F' U F U2 F D2,L' B2 L' B' D' R' B2 R B D L2,,30
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F' L' B' F' U F' R',F U B2 R' U2 B' F2 L2 D' F' D' F2 L2 U',L B2 L B U B U' B' L' D' B2 D L',B R F' R' B' R F R',42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F U' B D' B2 D',U F L' U' L' F' L' D2 L2 D U' B' U2 L,R' U B2 U2 L' U' B' U' B L U' B2 U' R,R' B2 R' F2 R B2 R' F2 R2,43
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L2 B2 D2 B L' U R,L B2 L2 B2 U' L B' F2 D2 R' D F2 L2,B U' L' B' L2 B U L' B' L2 B L,B R F' R' B' R F R',40
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 R D2 F' R2 B D U',B2 U L2 F' U2 R' B R' F2 U L' B' D2 R,R' B2 R B D B L B U' L U L2 D',F' R F L' F' R' F L,43
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L2 U2 R B' D' L2 D2,D' B L' D' U R' U' R2 B L R' D L2 B',B U2 R2 U L' U' F' L' F L R2 U2 B',L2 B' U2 F U' F' L2 F' L2 F U' L2 B,47
