scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,F U B2 R' U' F2 D' L,R D U2 L R' D R U2 R' D' B R' B2,B R' B' F L2 B2 R2 U' B2 L2 F,D' U L D2 L' D U' F D2 F',42
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,B2 F' U F2 D2 U' B L' F,U' B2 D' B D' L2 B' D' L' U B' D',F D' B F R B' F D' F2 D F',F D2 F' D' U L D2 L' D U',42
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,U2 B L B2 D2 U L D2 F',F U2 B' U' F' R' F' D' F R B2 D L2,R D' U F' D' F' D U' R D,,32
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,U2 R2 F' L2 U' B F2 L2 U2,R' U2 F2 L U' F R D' F U' R' B,F D2 B F' D' U F D U' R B',R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,46
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,L D' B' F2 L2 D F2 R' B',D' U' B2 D U' B' L' B L' U2 R D' R',D R' F' R' D' R2 D F U F D2 U',D R' B2 U2 F2 L' U2 B2 D,43
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D' F2 R B' R' U' R,D R2 D U' B' U' F2 U L B2 U R D' B,D' F L R' D2 L' R F D,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,44
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,U' F' D' L' B' U R,B2 D2 B' D2 R' D R' B2 R B' D R B',D B R2 F' R' B' R F U F2 U' R',F' L R' D2 L' R F',39
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D F' L D2 R U' B2 F U2,R B' R2 B' R2 B2 D2 B' R D' R D B,F2 U2 B2 R D2 B2 U2 L,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,44
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,F D' F2 D' F D' L F',B2 D' R2 U R' U L' F D' U' R' F U' B',R B D2 U R' D' U F D' U2 B' R',,34
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,U B F R' B2 R' U,B2 D R2 U2 F L' R F' R' U2 B2 R D',F D B F' R' U2 F2 R' B2 D2 F2 L' B,D R' B2 U2 F2 L' U2 B2 D,42
