scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,L2 D L F D',D' U2 B L2 D U' F' L' F,D U2 B2 R' D2 U L2 F2 L' D R2,U' L2 B' U' B U2 L' F' L U' L2 U F,38
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D2 R B' F D',B' L R D' B2 L' B U2 R',B L' R D L B' R' B2 D' R D,D U2 B2 D2 F2 U' F' D2 U B2 D' F' U2 F,39
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,F' U B2 L2,D2 B D2 U B U' B F2 L2 B2,R D2 F2 R2 D' R' D R' B' F2 D2 R',U' B L D' B2 R' U R U B2 D L2 B',39
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,U2 F' D L' D2,F' R2 B2 L D' L2 B2 R2 F2,F' D2 U L D2 F' D2 L' D2 U' F,B L U B2 D2 R F2 D R' D B2 U' B',38
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,R' B' L2 D2 L2,B2 L2 F U L D' L R2 D U',F' D' F' U2 L' U2 L2 U' L2 F D F,B' U2 B2 L' B L D L' D' B U2 B,39
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,U F2 L' D2 U2 B,F' D' R2 D2 F L2 D' U' B2 L,L2 R2 U' F' U' B L2 R2 F D B D,F' L2 B2 D R2 D' R' B R2 B' R B2 L2 F,42
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,B' L2 R,U' L' B' R' F D' R U B F2 U,B U F' U2 F L2 F' L2 U B',L' D F2 R U' R' U' F2 D' B L B' L,37
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B' D' L B L,L' R' D' F' D R D' B L D U,L' R F2 U B2 F' L' B2 F' L R',L' B' R B2 R F R' B2 R2 F' R B U2 L,41
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,D F L2 R',U B F2 L' U2 L2 F U2 B',B' U2 L2 D F' D F' L D L U2 R2,F2 R2 D' L B' L' B' L B2 L' B' D R2 F2,39
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,D L R D' B L,F2 U R' B L B' U2 F2 U R,D F L F2 L2 B2 D' R2 B2 L F' D',L B F L2 F' L' F L' B2 U2 B2 F' L B',42
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D' F2 L' B,R2 B U L' U' B' F' R2 F,D B D B' D U2 L D' L' D2 U2,R' U' R U' B2 R2 D L' D' R2 B2 U2,36
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,D2 L2 U B R,R2 D B D2 U R2 B R2 F2 D,D B2 D F2 D2 R' U R2 U B2 U2,U2 F' U' F R' D' F D R U',36
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U' F' D L2,B F L' F2 U2 B' U2 F U F2,U' F2 R U2 F2 U F' U F' U2 R' U,U2 F2 R U R' U2 B' U F L F L' U' B,40
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,B2 D2 L' D' R,B2 D L2 F2 D2 L D B2 U2,U R D2 U' B' D U2 L D U2 R',U R' B U2 F' U2 F' U' F2 U2 B' U' F2 R,39
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,B2 D R,B U' R B' U2 B' L2 R' U2 B',U2 L2 D F L' U L' U B2 D B2 D',U2 L' U R B2 L2 B' L B' R' U2 L2 U',38
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,B2 R F2 L' B,R' U' B2 L' D2 B' L' F U' B',D' R2 F2 U R U' F2 R2 D,L R' U2 B' R2 F' R2 B' R F L' F' D2 B2,38
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,R' F' L2 R',D R B L2 F2 L2 U' B' D' F' U2,B' R B R' D B2 D' R' U R2 U',F U' F' L' U' B2 D' F R2 F' D B2 U2 L,40
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D' B' R',U2 R B2 L' B R B F R2 F,D' U2 B' U' F' U B L F D U2,L F' L F' R' B F D2 B' L2 F2 R F',37
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,B2 L B' D' L' R,L F D' U' B U2 L' B' D F2,B2 D' U2 B' R D R B D R' U2 B2 U',B2 R D' L D R' B2 R' U F2 U R U2,42
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,F2 L' D' B F' D',D' F2 R U' F2 L U' R B2 D',D2 L2 B U' L U' L B' D F' D R2 F',B' U2 R D' R2 U2 L F2 L' R' F2 D R2 B,43
