scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,F' R2 B L F D2 B' L F',R' B' U' B' R' B2 U' R U,B' D F2 U' F2 D2 B2 D B U2 L2 U2 B2,D2 F2 U2 L F2 D2 B2 R,39
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B' L' B U B' R U2 B F2,L2 D F' D R' U' R2 U R2 D2 L2,B2 F' L U' L D L D' L U F,U' B' L R' U2 L' R B' U,40
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,B' F L F' R2 B L2 B2 D,D F2 D2 U' L B D L' F' U2 L2 U',D U2 L2 D' U2 B2 U2 F L U L' U2 F' U' B2,U' B' U2 B D' U R' U2 R D,46
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,F R' U2 B' U B2 D2 L B,U2 B' L' R B' L R' B U2,F L' D2 L' R D' F2 D' F' L' F L' R' F',B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,46
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,F2 D L2 U2 R' B' D L' F,L2 B' D R' F R D F D2 B L2,L U2 F' U L2 U F2 D F D2 B' D F2 L',U' B' L R' U2 L' R B' U,43
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,L' D F2 R2 B2 R' B R D2,R U2 R' F2 D2 B2 D2 F U' F U,U R' F' D L2 U R2 U' L2 R2 D' F R U',,34
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L2 R F' D' L D2 U L' D L',D2 U' B R U2 B2 U R' B' D2 U2,B L' U' B' L' B2 L2 U F U' F' L2 B' L2 B',B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,50
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,U' F' U2 L B' D2 L' D' U',L U B U2 B' U L',L2 D' B' D R B D L D L2 D2 L' B' R',U' B' L R' U2 L' R B' U,39
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,D2 F2 R2 D2 R' D F' R',L2 U' B F2 U' L B' U F2 U L2,D2 U' R B' L2 B D' L2 R' U B D2 B,B' L2 B2 L R D L' D' R' B2 L B L,45
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,U' L2 F R2 U R D2 R' D B,B D R U L' R' U' L D' U' B',U2 B D F U F' D' B2 F U' B2 U' B' F' U2,,36
