scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,R F' L' D2 L' D L2 R2 U L2,D2 B L D2 R' B' L' R2 D2 R' B',B2 D2 L B' L B L2 D2 L D L' B2,D' L' B2 U2 B2 L' D U L2 U',43
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D' F D U F D F2 D2 R,L D' L2 D L2 F' D F D' L,B' F' R2 F' R' U F2 D2 F U' F' D2 B,L F L' F2 L2 B F D F' D' B' L2 F,45
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,L D2 R' D2 L D2 B D,R2 B2 D2 L D L' D2 B2 R2,B L B F' D2 B' F L B',U F2 L2 R' B D' B' L2 R2 U2 R' U' F,39
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,F2 R B L' F' D2 R U' L2 B2,F U B2 F' D' L' B' U B' U',R B D' L' D U' F U B' R',B' F' D F2 L B2 U B F U B2 R F2 D,44
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,U2 F D' L' D F2 D' F U R',B2 L B2 F' R' B' R' B F' R' U F2,U' B2 R F' R' B2 L2 D' L' D L' U,B U' R' U' R' F R2 U F2 R B' R' F2,47
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,F' L D U2 B2 U2 R2 B U' L,L2 B F U L2 U2 F' D' B L D B2,F2 U F' L F' L' R2 F2 U2 F' U' F' R2,L' F' L2 U2 F2 U2 L2 F2 U2 F' L,46
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,L' B2 D2 B2 D' F U' L2 R' F2,B L2 B' R2 U2 F' U2 R2,L2 B' R' B L2 B' R B F2 U' F2,F' U' L R' F2 L' R U' F,38
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,B2 L F' R' B' F2 D2 R D L2 F,F L2 D' B D L2 B L F' L B',F' R' B U' L U' L B D2 L2 B2 F2,U2 F' U' F2 L' F' U F U2 L U',45
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,L R2 F' R2 F2 R U2 F D,R2 B F D L B' U' F L' F2 R2,B' F2 U' R2 D' R U R' D R2 B U' F2,U L' U2 L2 U L' B' R' F U' R B,45
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,B L' U2 R D2 B' D' U2 R B U',B' D' B' L2 D B2 F2 U R' U' F2,B' D2 F U F' D2 F2 U' R F R2 B F,D2 B2 R2 F2 U B' R B' F D' F' L2 F2 D',49
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,L' F R2 F2 D F' R D' B L',D2 F U B2 L' U' F' D2 L' U B2 U',B' D' F' D F' R2 F R' B F2 U2 F',R' U F' L' R U B' R B L R' U',46
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,D B' R2 D R2 U F2 R' B U,B2 L' B2 F2 R' U' R' F R' F,R2 B2 D L' D' L D F2 L2 B' L B' F2,U L2 B R2 U2 L2 F R2 D2 U',43
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R' U' F' L' D2 B' L U' B' L',B' F2 R' F R D R' B F' R' F2,F' R2 D' F L' D2 B' U B2 D2 U' L D,D F' D B2 R U' B U B D2 F L,46
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,U2 B2 D' F' L B' D2 F' R,F2 U2 F D R' D' B2 D F D' B2,B' F' R' B U2 L U' R U L' U2 R' F,B F' R U2 R' B' F D R2 D',43
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,B' D F R B' L' F U2 R' U2 B,F' L2 F' R U' R2 B D2 B F2 L B2,D R2 U B U B' R2 D' L F' L',F' U R U2 L2 R2 B D B' L2 R F2 U',47
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,D' B' L2 D F2 R D2 L D2 U',F' L2 B' D F U2 F2 R2 B R' F2,B' D2 B' D' B R' D' R' U F2 U' R' B,U' L' U' L U2 L2 D' U' B' U B D L2,47
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,B' D B' R U2 R2 D B F2 L',B L' B' D' F' D R' F' R2 U F2,B2 F2 R2 B U F' U2 F R' B U F2,L' U L R' F2 L' R U L,42
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,U2 B2 F' L' R' U' B D' B' R,F2 U' R U B' F2 D B' D2 L' B2,B' R D R2 D' R D R B' D B D2 B,D F' D B2 R U' B U B D2 F L,46
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,U' B2 D' B F' L' F' R,B' D B' D' F L2 F' L B D B,F2 R U R2 B2 R F2 D' L' D R' B2 R,U' L F D F2 D' L' F' U F2 U2 F2,44
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L' D2 F2 U F' L' R2 B2 L' F2,B L B D L B D' F' D' B F,B2 F2 R2 B U B' R2 B R' B U F2,B' F' D F2 L B2 U B F U B2 R F2 D,47
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,L R' F D2 L F L R D' L,B2 U B D2 B' U' B2 F U2 F',R' F R' U' R F' R U' R F R' U,R' F' L2 D F D' F' L2 U' F' U F2 R,45
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,D' F' R' U L F L D2 F2 U' R2,L F L' B U2 L' U' B2 F' D' B,L D' L' B2 L2 D' R' B L R2 D2 L R',F' U' F2 L' F' U F U2 L U,45
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,B2 R' B' U' B R' D U2 R' B,B2 L D' L2 B F' R2 D R2 D B F,B D' L2 D' L D L2 F' U2 F D B' R2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,49
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,B2 F' U' L2 F L2 D2 B' R,D' F' R' B' D F L D B,B D2 L2 D L D' L2 D F' D B' F,U F U' B F' L F' L' B' F,40
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,F2 D L F L2 U L' R' B D',F2 R U R B' F D' B' F L' B2,L2 B2 D' R D R' D' B2 L2 F U' F',F' U L R' F2 L' R U F,42
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,U' B' F2 L U2 B2 D2 R2 B' U',R2 B2 F' D' B R B F U' F2 U R2,U F L2 B' R' B2 D' B' L2 U' F' U F2,F' L F L B2 R D B R' B L2 U,47
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,R2 F' D2 B2 L' B F L' D L,B2 D L B D F2 R B R2 U' F2,F2 L' B L' D F' D' L2 B2 U B F2,U' F L2 U2 L2 F D U F2 D',43
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,R B' U2 F2 L2 U L' U,B2 L2 D' L' B R D' R' F2 R B F2,B' F' R B2 D2 R' D' R D' B D' B2 F,U R' D' F' D R U L F L' U2,44
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,B2 L' R2 B2 U2 B' L' U F R2,B' U2 B' L B2 F2 U R' F L2 F,B2 L' D' L B2 U2 B U B' U2 F2 R U F2,F U2 F R U B U2 B' R' U' F2,46
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,B F L2 F2 D' L' B' D' R' U2,B F L' F R U' R' F2 L B',L2 F' U' L U' L F D2 F' L2 U2 F D2 L2,L F L' F2 L2 B F D F' D' B' L2 F,47
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,x2,L2 R B L' F2 R' U2 R' U B,L' F2 U2 F2 L2 D' B U' L2 U L' D,R F D' L2 F' D2 R' D B2 D' B' D',R' F' R B F U2 F2 U' F U F U2 B',47
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,x2,R D' U2 L' R D2 F' L F2 R2 U',L F D' U2 B U' B2 D L U' F',L' R D2 L' R2 B' R D L2 B2 L D L',B F' U' F' U B' F R' F R,45
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,x2,L' B' R2 D2 F R U2 L B L2,B' D' B F2 R U' F' U2 F',R2 F U' F' L' B L' B' R2 D' L' D L',L' D' B F' R D R' B' F D,42
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,x2,U L2 F' D' L' B R' D2 L B',F2 U R' B2 U2 B' R2 B' R' F2 D2,F' R2 F D B R D2 F L2 D F' R',L' B2 D2 F2 R' F2 D2 B2,41
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,x2,B L' D R B U' R2 U2 F D B,F R B' R' F2 R' B' D2 F L' B2,D' F L D' B2 L' D2 F' D R2 D' R',F' R D B F' R' U' F R B' F D',46
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',x2,D2 R2 U' B D R' F2 U F2,U' L' F2 R B2 F R B2 F' R' F2 U L,R F' R F2 R2 F2 U' L R2 F L' F2,F' U' F2 L' F' U F U2 L U,44
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,x2,L2 R2 D B' R' D' B2 D U2 F,B2 L2 F' D' B2 F' R' U2 F' U F',L2 B2 D' B2 D' L' D L' F U' F',D B2 F2 R B' F D' R2 D' B' F L D,45
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',x2,F2 L2 R D2 R2 F2 L' U' L' F,U B U' L2 B' F U R' U R F',B L B2 D2 F2 R F2 D2 B,U L R' F2 L' R U,37
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',x2,L' F' R D U B2 L F' U,L2 D L2 D2 B' R' U B U' R B,B' R' B L2 B2 D' R' D R D' B2 L2,R2 F R F R B F U' F' U' B',43
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,x2,R B' D2 L D' B2 D2 L' U2 R2,B' D B2 F2 U2 B' F R F,F L F' L B F' R' B R' B2 F D2 L2,,32
