scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,F D2 L' B' L' B F R2 U' R,L2 D2 R2 F U2 R B F' U R2 F,B2 U F U' B U' F' U2 L' U' L B,L' R2 U L D B2 D B' L' B' D' R2 D',46
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,F U2 R' F2 D R2 D' F' R2 U2,F' R2 D L2 B' F D2 R' U2 B,L B' R2 F D' F' R2 B2 U' B' U L',L2 B2 D' L R' B R2 B U2 L R F2 U,45
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,R' D B' U L2 D' F U2 R' U,L B' U' F' D' L' U L D B,U L U B2 D2 R D R' D B2 U2,L R F L' R U' R2,38
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L D' U2 L D2 F' U2 F' D2 F',B' F U L R' B F D' U L,B' U B D L' U F' L F U2 L D',U' R2 U L2 R2 D2 L' R F L2 B L R',45
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,U' B U' L D2 R2 B2 F U' L,B' D' L' U' L2 D B L F L2,U L2 U L U2 L' U B L B' L,U B' F R U2 B2 D2 L2 F2 D2 B' F',43
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D' B' L2 B' R2 D2 U R' U B2,B' U2 R F2 D2 F2 R U2 B',U L' R' F L F2 L' F U L U' R,F2 L' R' D U' B2 R' D U' B D2 L R',44
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,F' R F2 D' R D' B2 L' D',U' F' D U' B' F L' R B U,B2 D2 F2 R F2 D2 B2 L,L R2 F2 R F D F R2 F' R' D' L' R,40
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,L' D' U' B D' L' B L B2 D2,B R F D2 R B R' F' R2 U' B2,F2 U2 F L' B2 F' R B2 U2 F L F,U' L' R D2 R2 D2 B' D2 B' L' R D L2 B2,47
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,F' U F' L2 F2 U L B' D2,L' F' L2 D' L' R F R2 D R,L2 F2 D' R2 U' B2 D R F' R F' D',B2 D' B' F L2 F2 L' B F' D F2 D' B2,44
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,L B2 U' B D U2 R U2 B2 F' L,F L R D2 B' D2 L' R' F2 D' F,L' U L' U' B2 R2 B R' B U L2 F2,D' B U' R' F2 R U L B' U' L' U2 L D,48
L2 F U D2 R L2 U B2 R2 D' L' F2 D' L' U2 D2 R' L F' B',x2,U2 R D2 R D R2 D B2 U2,L F R2 B L R' U' L2 U' R',B2 F2 R2 D R D' R F' U F' U' B2,F2 L2 B' F' R B2 F2 D2 B' F' L2 U,43
D R' D2 U2 B U F U D2 L F2 U2 F2 L R2 D L D F' L2 U2,x2,U' L2 D' B' D' F' L' B2 D U2,D L2 R2 U' B L R' U' L R',B' U L' U' B2 R2 B2 L F' L F2 L' B,U2 F R U R' B' D' F2 D B U' F',45
D B D F' L D' B2 R2 B D2 U2 R L' F2 L2 R D2 F' L B' R' D2 B' R2 L,x2,U R B' R U' L' D' R U2 F2,B D U' F R D' U F' L' B',R2 B U2 R2 D2 F L2 D2,L' U L B F' D' L D U' F2 U B' F,41
F' L R2 B D2 U L R' B2 L' F' D2 F' U L' B2 U' L D' B F' D2 B D' B',x2,B' U' R2 B R U F2 R2 D,F R2 D L' R F' L R F',U L2 U L U2 L' U B L B' L,F L2 R' D' B' D' U R D2 U' L2 R F',42
D B' L' F L2 D' F2 B' D B' D' F R' B F D2 L U F2 D',x2,R' B2 L2 U F2 R' U2 R B,B D2 F2 L' U2 B F R2 U' F,D F' L B2 L' F L' U' L2 B2 L' D',F2 R2 U L2 D B F' R' B' F R2 D' L2 F2,45
F' U D2 B2 D' R2 L2 U F R' L F2 B' D2 L D' B' R2 D F2,x2,R2 D' B' D L2 U R2 U' R',D' B R' B F' U2 B2 F2 D' F' D,L' U L' U' B2 R2 B R' B U L2 F2,B' F2 R' B R' F' U' F' R2 F2 R U R,45
U B' U2 L D R2 B' D F' R' B' L B' L2 U2 F D L2 F U F' D' R2,x2,D2 F' R U2 L' F' U F' D' R,L2 F2 D' L B2 F2 R' U B2 L2,B' U L' U' B2 R2 B2 L F' L F2 L' B,B F R' F' U2 F D B D' F' R' U2 R B',47
U F' B' L' D' F R' L' D R' F U D2 B L' U L B D F L,x2,D' F R2 F R' U2 F' D2 U,L' D2 R B' F U' F2 U2 B F' R',B' U' R2 D2 L' B' U' B L' F' D2 R2,D' R2 B2 L D2 L' D' B' D' L2 D L B' R2 D,47
U F R2 B F2 U2 F' U L B U' D2 F' R2 B' U' F R2 F' U2 L' B',x2,B2 F2 R' F2 D2 L D' B' R2,D' B F' R' B F U2 F2 U2 B2,B U L B R D2 R F R2 B' U' B' L,L' R U2 L F L' D U2 B' D' L R2 B U B',47
R U2 F2 D F R2 F B' R D F D2 F2 L U2 D' F2 U2 B F' D U F B2 R',x2,U2 B' D B U' F' R2,B R B F L2 B2 D F2 R2 F,F' L' F L B2 U2 B L F' L2 B F,D R2 B F D B R B D' R F' U' R' B' D',44
