scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U' R2 B D R B' F' L' F2 R2,B F' D R D' U F' U B' F R2,R2 F' L2 R' D R D' L2 F R2,B' F L' D' F' D F2 L B F R F R',,44
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R2 B2 U' B' D R' B D2 R2 D,L F U' R2 D B2 R2 U F L',U' L2 B' U F R2 F' U2 B U L2 U,B R' D R2 U R2 U' R D' U R U' B',,45
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U L2 B2 U' B2 D' L2 B U L,B U L2 B' L2 B' L2 B U' B',U2 F2 L U B L' D' L2 B' U2 F U',F R D' L D R' D2 L' F' D' F D2 F',L' F L B D2 F' D' F' D F2 D2 B' F',58
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F2 D B D2 L2 F' L' D2 L2,D B2 F2 U B2 F2 D2,F' D F L B R D' R' B' L',L' F2 L' F2 L2 B D2 R' B R' B' R2 B',,39
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 D' B' L D2 L' F2 D2 U' R,D L R' B' L B L2 R2 F' R',L2 U2 F L' B' R2 B L F' L2,L' F L' B U' F' D F' D F' U B' F2,L' F L B D2 F' D' F' D F2 D2 B' F',56
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B2 L' B U2 R D2 B R2 B',F' D B' F L' B' U' B2 F2 D F2,U2 B L2 B' U2 R' F R,R2 B' D2 B R' B' D' R' D R D2 B R2,,41
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D' R D' F' U' R2 B F D,U2 L2 R2 D R' B' L2 R' U2,L2 F2 D R2 F2 U' L2 U B' L2 B' U,B' R D R' D' F R F2 R F2 R2 B F',L' F L B D2 F' D' F' D F2 D2 B' F',56
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,F' R2 D' B2 U2 F' R' B2 U' R,D' B F R' B' F D F2 D,B' R2 D' R' B2 U' L U B2 R' B,B2 L B R2 B' L' B R2 B,L' F L B D2 F' D' F' D F2 D2 B' F',52
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D2 L F' D2 R U' B D F' R',L2 B F D2 R D2 F2 D2 B' F D,R2 B2 D' U' F' D F U B2 R2,U L' F L F' U B D' F' D B' F U2,,44
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,D' L D' F' U2 R' U R D F,D' F2 D B F' R' B F U B2 F2,U2 L2 F2 L2 F2 L U2 B' R' U' B L U,B F2 U' F U F2 L2 B D B' L2 B' F',L' F L B D2 F' D' F' D F2 D2 B' F',60
