scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,L2 D B2 F L B F2,R U' B2 L' D B R2 B' L B2 R2 U,L B' U F' D2 F U' B' L2 B2 U' L',F' R D' L2 R' U B2 R2 B2 L2 R D R' F',45
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,U2 B2 U F L' U B2,B D' B' R' F L U' L2 F' L R,R2 B2 F R' F' R2 D' F2 D R2 B2 R2,B L B F' D2 B' F L B',39
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,U B L D B2 F2 R2,D B2 F R' B' U' R2 B2 R2 U R' F' D',L R' U' B' R B L' D B D',U R' D' U F U' F D U' R',40
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,F2 L' F D2 R B D L2,R2 B' D2 R2 B D2 B L' R2 U L D2,U2 L R B2 L2 B R2 B R' U' R2 U L',U R' U2 R2 D' U' F U' F' U' F2 D R,46
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D F' L2 D2 L B F,D F' D2 U2 L U B' D2 U B2 F D',R2 U' B' U' B D F U2 F' D' R2,L2 R' B L' B' U2 F' D2 R2 U' B' D2 U' L R,45
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,D2 L2 R B L2 R,F2 D B L2 D' B2 F U' F R2 B',F2 R' B' L' D R D B R' B' L F2,L2 B R B' L2 R' D L2 U B R' U' L2 R D',44
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,R' B F' D' L' B2 R D',L B' F' R' F2 R' F D' B F2 U2 L',R2 U2 R U2 R' U2 R B2 R B2,B U B U' B D2 L D' B' L2 B2 L B2 L' D',45
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F' R' D' R B2 D2,L R2 U' B' R' D2 F' R' B F L' R,D U' F U F' U L U' L' D',U2 R' B2 U' B' R' U' F' R' F R F R2 B' U2,43
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,L2 F L2 U' B L D,B2 R B R' B' L' U' L2 D' L2 U L,D L' B' U B U' B L B' D',F' R2 F R U2 L U L' U' F2 D U2 B R B2 D',45
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,D' R F2 D2 U' F' U,U F L2 F2 D2 L2 R F' R2 U' B' F2,F R' B2 D' B2 L' D' L B2 D R F',B R2 U' R' U2 R' D2 L2 D F' U F D U2 B' R,47
