scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,B' D2 B' L U2,U L' D F L2 F2 D L2 R U B2 R' D',U L2 U2 F' U2 L2 D U R' D' U2,U2 L D' L' U2 L D L',37
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,D2 F2 L2 B U L',B' L' D R' D B D2 F U' L B U2 F',U' F2 D U' R' D2 U2 L' D,B L D' L2 B' L' B2 D' B' D2 L2 B',40
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,R2 D2 F' L' B' D',R B' D2 F2 L' F' U2 F' D B D' L R2 B,B L2 R' D' L R' B R' D2 L R' B,L U2 F' U2 B D' L2 D B' U' F2 U L',45
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,B' U' F L' U' B2 R,U2 R' B' L B2 R2 D B2 L U2 L2 B U2 R,U R2 D2 B D L' U F2 U' L D U',L U B2 R D R' U' B2 L2 D' L' B2 D B2,47
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,F' U' L2 U' R' B,U2 B L2 F' U F U R2 D R F R B',R B2 F' R B F' U' B F2 R',B' L2 F' D2 R D2 L' F L2 B2 L B' U2,42
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,L2 R2 D L2 R F,F' U2 L U L R' U2 F R F L2 F L2,R2 B L' R D' R2 D' L R' B,F2 L' B L F2 L' B' L,37
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B' D R2 B2 R' U,L' D2 B2 D2 U' L' U R2 B D B2 R2 B,D B2 D' U2 R' U' B' R' B R' U',R F' D2 F R' U2 R F' D2 F R' U2,42
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,D2 F2 L' U' B L,U2 B2 D L F L2 F2 U2 R U L2 D',R B D2 B F' R' B2 F2 L' F' R',F' R2 D R2 D' B F2 U2 F U B' R2 F2,42
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,R2 D L' D2 L' D2 F,U R B2 D' L2 B' R' F2 L' U2 L' B U',R' U' L R' F2 L' R U' R,F2 R2 B U' F' U2 B' F2 D R2 D' R2 F,42
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,D' F2 R B F' D,B' U' F U R' B D R B' F' D' F R,D2 U B D' U' F2 D2 L D2 F2 D',F2 R' U R U F' R' U2 R U2 F U' F2,43
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,R2 B' L F' D B,F' U' B L' F L' D' U2 L D L B' F,L B2 D' L' D U' F U B2 L',F2 L2 R D F2 D' L2 R' F2 L' B D2 B' L,43
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,D' U2 L D2 L2 F,U2 F' U' B F L B L' B' U' B',U2 L2 D2 B D2 L2 U2 F,F2 D B' D' F2 D B D',33
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,U2 F2 L' B' D' B2,D2 L' B D2 L B2 R' D2 L2 F L' B2 U' F',R' U2 R D U' B' U2 B D' U,B F R F' U2 F' U2 F U2 L R' F L' B',44
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,R' U B F L' D2,B2 F' L B U R' D F' R U2 B U' L2,B L2 R' D' L R' B L R2 B',U F U' L U F' U L D' L' D U2 L',42
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,R2 U L D F,R' B2 F L F' L' R' U B2 D U' R B2,D2 U B' D' U R D' U2,B F L F2 L2 F' L U L' U' F L B' F,40
L R2 D' U F' R' L2 D' F2 U2 B2 U B' D U' L' B U B' U' L' D2 U2 B U,x2,F R' D' L' D2 L' F',F D2 B2 L2 U L D' U2 L2 F' L2 B D',D L' U2 F2 D2 F2 U2 B2 L D',U B' R B' L' D' L B R' B2 U' B',42
