scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L2 D F' L' B' R2 U',B2 D2 L' F2 L' B2 L B2 D R' U2,B D2 F U2 R2 F' D2 B U2 L2 B2,D F2 D2 F2 D' F R U F2 U' F' R',41
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F L B U R2 D' B2,R B F U F R2 U' R2 F2 D' B' R',D' R' D R F' D' R' D R2 F R',U2 B' D' U R2 D U' B' U2,39
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F' R' U' R D' L',B2 D2 R' U2 L D' B2 L' F2 U' R U',D' R2 B R2 F R' B' R D2 F' D,D2 L B U2 F' U F U2 R2 B R U' B2 L',43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B' L' D F2 U',U F' L2 B2 L2 R' U' L R B2 F2 U' F',L' D2 L' U L D2 L' U' L2,R2 D2 R D' R2 D R D2 R2 D' R D2 R' D',41
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 L' F' D B' U' F,L D' L R2 B2 F2 R' U2 B2 L D' L,D2 F' D2 F D' B' D' F2 D B D F',R B R2 F' D' F' D R2 B R' F R B2 R',45
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F' D F U' L',B R' U R' U' B2 F2 D' B,L D2 L' F R U F U' F R',L' R' D' L U R' B L' B L2 R U' R F' L',39
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R F D' L2 D2 B,R D' R' B2 U2 R' U F2 R B2 L',R D' F' U F D' F D2 F2 U' F R',R B2 D B F R' B2 R B' F' L2 U L2 D' R',44
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R B2 U' B' U' F,R2 U B2 D' B D' U' L D' F L2 R2,B R2 F2 R2 B' D2 F D2,F L' U F2 L' U' L2 F2 R' F2 D' R F R2 D2 R2,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F U B L' R2,D2 L2 U2 R F' U L2 B' D2 B2 F' R' B2,D2 L' F' L D' R' B' D' B R,R2 B' L' R F2 R2 D L D' R D2 L' D L B R2,44
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,F D2 U2 L D2 U,D2 U' B' D R' U' L D B2 U2,D2 F D' B' D' F' D B D',L' D2 U L B' U L2 U' B L' D2 U' R' F2 L R,41
