scramble,orientation,step_0,step_1,step_2,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,R2 B2 U2 B' L2 D B2 F,R' B' U' R' U F2 L D' L' F2 R2 B,R B2 L' F L' F' L2 D2 B D B' D B2 R',34
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,L' D R' B2 U2 F' U' F' L D',R2 F2 R2 U' B' F2 R' B R2 F2 U,F D2 U2 B2 L B2 D2 U2 F U' R' U R F2,35
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,R F2 U' F' L' D2 B U' F' U2,U B' F2 D' B2 F U L' U' L B' U' F,R2 U' B2 D' B U F2 U' B U F2 R2,35
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L' F' U2 F' R2 D2 B D F L2,R2 U' B2 F D B2 F' R2 U,F2 U B' F2 L2 B D F2 U' F D F D,32
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,B' D' L B F R' D L2 F2 R',U2 B U B R U2 F2 D2 L F2 U',F' D' U F D F' U' R' F' R F2,32
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,R2 D' R B2 D2 L' F R' B2 D',B' U B2 U' F2 U B2 D' U' B F2,U2 R' B U2 R' F2 R U2 B L B2 R U2,34
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,F2 D L' R' B2 R B L F,B' R2 F2 D' B D2 L2 B' L2 D2 F' R' F' R',R F D F' D R' B R' B' R2 D2 R',35
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,B2 R' D' U2 L2 F' R B' D2 F2,R2 B' R B2 U2 B' U2 B' R' B R',R F' R' F R' F2 U2 R' F U2 F' R U2 F2,35
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,B2 U F U L D2 B D L' B2,U2 L2 D2 R2 F D F2 U' R2 D L2 D B',R2 D' R D' R D' R' D2 R2 B R2 B' R D,37
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L2 R' B2 U R U B' L F2 D',B F R' D2 R' D2 R2 B' R' F',R2 D R2 B' L' R2 D L D' R2 D B R D' R',35
