scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B D' B' D L' B L2,F2 R2 D R2 F2 D B2 D U' B D B U,D U B' F2 D B F' R' F' D' U',D2 R D2 R2 D' B2 D L' R2 D R' D2 L D,45
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L2 F D2 R2 B' U',U L' F2 D' U' L2 U2 F' D L U' F2 U F2,U2 L2 R D' L' R F L' R2 U2,U B2 F2 U F U2 B' U' B U2 B2 F U',43
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F' U B' L2 U2 L F',R2 U' B L U B L2 U L2 D2 B2 D,D U B' F2 D B F' R' F' D' U',B2 L R B' L' B L' D' L D R' B2,42
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 D' B' F2 U',R B2 R2 F U2 B' L2 F2 D U2 R' B D',R' U' L' R B R B' L R' U,R' U F2 R B L' U2 L B' D2 R' U' R D2,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F R D2 L',R U2 F2 U B2 L U B2 U R2 D U',R2 B D' R' F' R2 F D R B' R2 B2,U B2 U2 B D2 B' U2 B2 D' U' R D2 R' D,42
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R D L R' F' U',D2 B D U F D' B' L' B' L' D L2 R2,D B F' R' B' R' B' F D B,F' R B2 R2 B D B' D' R2 B R B R2 F,43
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R' F2 L2 B' U' F,U R D' B F' U R B' D R F D2 F U',L R' B R2 B L' R D' R2 D',F' D' R D B2 D' R' D L F' U2 F L' F,44
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U B D' L' B' L2,U R B' D2 B D' B R' F R2 U2 B' R U',B2 D' B F' R2 B' F D' B2,D' R' B D F' L2 F D' B2 U B U2 R D,43
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D' R2 F D2 U2 L',L2 D R B F R B F U R D B2 R B2,L R' B R2 B L' R D' R2 D',B R F' R' B2 L' D' R D L F R' B,43
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D U' F L' D2 F2,F L D2 L' D' U' R2 D R U F D F2,D' R2 B2 R' B R' B R2 D B2,D' L B U2 B2 U' B' U B' U L U L D L,44
