scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,B' R B2 D L' F' L' U2,D2 L2 B R2 U' R2 B' L2 F' R F D2,F D B D' F' D B' D',R2 U F2 U' R' U' L D2 L' U R' D',L2 B' U' B U2 F' L2 F L2 U' B L2 B',53
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F2 U2 R' B D B2 F',U2 L B L' U2 F R2 F D' F2,F' R2 F' L' F R2 F' L F2,R2 D B D2 R D2 R2 B' R D R D' R,B' L2 B D2 F' D B D2 F D2 B' D L2,52
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U L' R2 U2 B' D F' L2,B' F R' F' L' F2 R D F2 L B,R2 B' D2 R2 B' D2 B R2 D2 B,R2 B2 F L2 D' F2 U2 F2 D L2 B D2 B F',B' L2 B D2 F' D B D2 F D2 B' D L2,56
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R' D' F2 D' B R2 U,F2 R F D2 F R F2 D R2 F2 R,F' L2 B U2 R' U2 R B' L2 F,R2 B D2 B R' B' D2 R B' D2 R' B R' B',L2 B' U' B U2 F' L2 F L2 U' B L2 B',55
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,U L2 F' L U' R B,F2 D R D R F D F' R2 D' F2,F R2 F L F' R2 F L' F2,U' B2 U R B R D2 B D2 B' D2 R2 B2,B' L2 B D2 F' D B D2 F D2 B' D L2,53
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,D B' F' U2 R2 D B2,L2 D' L2 F R2 F2 R F L2 D L2,D2 B2 D2 R2 B2 D' B2 D' R2 B2,B D R' D' F D2 F' D' R D2 B R B2 D,B' L2 B D2 F' D B D2 F D2 B' D L2,55
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,L U F D2 B U' B' L' D,F2 R D2 R2 F2 R D F2 D' R',D' R D R' D R D2 R D' R2 D',U F R' F2 D2 F2 R F' U B' L2 B U2,,43
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,F' L B F' L2 F2 U F2,B R2 F2 R D2 R D' R2 D' F2 R B',D B' R' F D F' D' R B D',L2 B L2 B' L2 D2 F' R2 F' U2 F2 D2 B',B' L2 B D2 F' D B D2 F D2 B' D L2,56
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L U2 R F' R' B2 U B F',B U' R' D2 R B U B' D2 B' R,D2 L' D' R2 D L D' R2 D',U2 B' L B R2 D U L D' U' R2 U L' U,B' L2 B D2 F' D B D2 F D2 B' D L2,56
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,U2 F2 D' L R U2 F2,B2 L U2 L' B2 F2 D2 F2,D2 B2 D R2 D' R2 B2 D2,L2 D' B2 L F2 U R F' U B2 L F R F2 D',L2 B' U' B U2 F' L2 F L2 U' B L2 B',51
