scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F' R2 D2 L2 U L' B',L2 B U2 R D2 R2 U2 B' L' F' L' F2,B' L U L' U' B2 R' U' R U B',B2 R' B2 L' B R F' R B' F D2 L,42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' L F2 U' B' D2 L F,D U' B2 R F' R D R2 U2 B2 U' F',R2 D L R' U2 B' U2 L' R D' R2,L F2 L' B' L F2 L' B,39
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R' D F2 U R' B' U',R U' L2 R' U' L2 F2 U F2,F' R' B R2 F D R D' R2 B' R,R U' B R F2 R' B2 L D2 L' B U R',40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D U2 L' D2 R U2 B2,R' D L2 F D2 L2 U2 R B U2 R,L' F' L B L' F L B',L B D F' R D R2 B' D' F2 L' F' D',39
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R' D U' R2 F' D' L,D' B F R2 D2 R' F D B' L2 F2,R' F D L D' L' B' L B F' R,L' B D F2 L2 B2 U' F' U2 F' R2 B L',42
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L2 B U2 L2 F' D F,L2 R' U' F D2 U2 L2 D' B D2 U' R,R' U L D2 U2 F' D2 U2 L' U' R,F' D2 L' U2 R U2 R' U2 L D2 U2 F,42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U F L' D2 U F2 R',R' U2 L' D' B' L' D' R F' L2 B' D',D L' B2 R2 B2 L D L F2 L' D2,B' F2 R' U' R F R' F' U F R B F,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' R B' F2 R' U' F',R' D2 U' R F R D2 F U F2 R,D2 F' D2 U' F D2 F D2 F' U F,R U' B' L D2 L' B2 R F2 R' B' U R',42
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R' B R2 D' B2 R',L2 U2 B F2 L F2 D2 B2 F U2 R2 B,R' U L D2 U2 F' D2 U2 L' U' R,F' L2 U' F U' F' U B L2 B2 U F U B,43
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L' R' B F2 D U2,L' F L B R B U' B2 R' F' R F,L B' R' D F L2 F' L2 F' D' R B L',F' D2 U2 F' U' F' L' U' L U F2 D2 U2 F,45
