scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B' R' D F2 R' B',R B R' U L2 R2 F L2 R2 B',F2 U2 L' B' U2 B L U2 F2,U L' U2 L U2 R B2 L2 B' L' B' R' U',38
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L U F L' D U F2 R',D2 L' B L2 F2 L' R D2,D2 U F R2 F' R' U R D2 U2,L U' L2 D B U' F2 U B' D' U L',38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' U B' R2 D F2,R F' U' R' B L' B' F D U2,L' F L U F D R2 F' U R' D',R2 B' R' D' B2 U B2 D B2 U' B2 R B R2,41
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L2 B2 U2 F2 L' D2 B2,R F2 D L B R' B' D2 L',F D2 U F R B F' U' B' D2 F',F L2 F' L' F2 U2 F L' U2 F' L U2 F' L F,42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,U' F R2 D L U2 F2,U2 L' R B F2 L R2 D2 U,B' L F2 D' R' D F2 L' B,R B L2 B D F L' F' L' D' L2 B' L B' R',40
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 D2 F R B2 D L2,D2 L F' L R D L2 R D2,D L2 D2 B R B' R D2 L2 D',B2 D F R' D' B' L2 B D R D F' D2 B2,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F D R2 F L' U2 R',U2 L' R F2 R2 B' L R2 D2 U',D2 R2 B' R' B R2 D' F2 U2 F2 D',B D L2 R' B' D2 B R D' L' B' U' F' L' U,43
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L2 B D R F2 U2 B' U' L,U2 L2 U' L' R B' R2 B2 L' D2,L2 R D' B D L2 R' F U' F',U2 F U' F U2 F D' L2 U' L2 D F U' F' U',44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F U2 F' U' R F',D2 R' B2 L F R' U2 L' D2,R F' L2 F' U' B D2 U B' F2 R',B2 U' L2 B D2 U2 R U R' D2 U B' L2 U B2,41
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F R2 D2 L F' U R,F2 D' B' F L2 B U' R F D',D' L' B R D' R D L R2 D,L' B L' B' R2 B2 L U B U' B2 L B2 L B2 R2,43
