scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,D L2 F L B R2 U' L2,R' U2 B' L' U' F' L U B U2,U' L' F L' F' L2 D U F' R' F D',B' L F2 U' B2 R2 F2 D' B2 L B,41
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U R' F R2 D F L' B,R2 D2 U2 L' D2 U' F2 L D2 L' U',L2 F2 D U B' U' B D' F2 D B' D' L2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,46
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L D' F2 L R' U R B' L,D2 R2 U L' D' F' L D2 U' L D L',F2 R F2 R' U2 B2 D' B D B2 U B' U R,U F' U2 R2 D2 B' D2 R2 U,44
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,L B2 F' L' B D' B2 F,F D2 F2 R' F' D2 R' D2 F2 R' D',D' B2 R B' R D R2 B' D B D' B',U' L' U' B F' L D L' D B' F L' U2,44
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B' U' B2 F' R2 B2 R' F',B U R' F R2 F' R U' B' D R2 D',F' R2 F R' D' R B R B2 D B R2 D R',U2 B' F L2 U' B2 F2 D L2 B' F D2,46
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F L U L2 B F2 D F2,U' B D2 R D' R' U2 F L' F2 L U',B2 U' L2 B L' B D B2 L' U B D' B,B L2 F2 D' F2 L2 B2 U' B,42
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 B' L B2 F U B' F2,D F2 D' U2 B2 D' B' L2 B' U2 F,D' U R D R' U' B R2 D' R' B R' B2 D,R D' U F2 D U' R,40
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U R' U2 R2 F2 L2 F D2 L',F D' F D R U F2 D L' U',B F U2 B L F' L F2 U2 B F2 D' B D',F' R B2 R' B' F D B2 D' B,43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R2 U' R U' L R' U,B' D2 R2 B D' F D2 F2 R' B2 F,F2 U' B U B2 F D2 R D B' D B2 R' F,R F2 R D' U F' D2 U2 R2 B' D' U,44
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D R U' L' D2 L2 B F L',R U2 L F D L' D' U2 R D' R B,B L R' B L2 U2 L D L' U2 L D' R B',U2 L D2 L' D U R2 U2 F' U2 R2 B' D U,49
