scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R F2 L2 U F' D2 U F' R,B' U2 B2 U' B2 U' B' R' B' U' B R,L' R' D' R D' F D F' D L,D' F' U2 B' U F U' B D U F' U F,44
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,B' L2 D R' F' L2 D' F' D L,R B' R F D2 F' U R' U' B R2 B,R2 B' R B' R' B' R B2 R,R2 U L' B' R2 D2 L2 R U R' F' L2 D2 L,45
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,F' D U' B' F U' F2 L' D B2,L B' L2 B2 L2 B L2 D' B D L B2,L' R' D' R D' F D F' D L,U' R2 F2 R2 F' U' B U2 F2 U' F U' B' U2,46
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' R D' B' D L' R2 F' U2,R' B2 F' R2 F D B' D R2 D R2 B' R,L' R' D' R D' F D F' D L,F R2 F' U B U2 F U F U B' U' R2 F2,46
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,F L2 R2 D2 R' U' L2 F' U' R,R2 B F R' U' L2 D2 U' L2 U2 R' B2 F',L' R' D' R D' F D F' D L,F' L2 B' L2 U2 L' U2 L F U2 L' B L,46
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L R2 B U' L2 U2 L2 R B U',F2 D' U' L2 D2 L D2 L D L' U B' F2,R' D' L2 U B2 U' L' R D2 L',R2 U B2 F2 D L2 B' F2 U F' L2 F U' B',47
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,B2 D' B' U' B2 R U R F',F D L B L B L2 U' L2 U F' D2,R' D' L2 U B2 U' L' R D2 L',B' U2 F R' D2 R' B L B L' B' F' R2 U2,45
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L F' U2 B L2 D' L2 F' R,D2 U R2 B2 F' R B2 R2 F R2 D2 U' B',R2 B' R B' R' B' R B2 R,U2 B U R2 B' R2 U2 B F' U B U' B2 U' F,46
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,U' R U2 L' D' L2 F U' F' D',D' B D' L2 R2 D R' D' L2 R2 D2,R2 B' R B' R' B' R B2 R,U' R U' B R2 B' R' B R' B' U R U' R2 U2,45
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,R2 B R' B2 D2 B' U L' U2 B,U R2 F2 D F' R' D2 R F' R U' R B',R' D' L2 U B2 U' L' R D2 L',D2 L B2 D' R D2 U' L' F2 L' D' U L D2 R',48
