scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B' D' L2 B2 R F,U L' R' F' L U2 L2 R U L2 B2 U',U R2 U' L U R2 F2 U2 F2 U' F' L',F L F2 L' F2 D2 L' D2 R F2 R' F,42
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D' U B L D',B' U2 B' U' R2 B' R' U R' U2 B,U2 L F U F U' F' R' F2 R F L',F L F2 L' F2 D2 L' D2 R F2 R' F,40
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,F2 D2,F' U2 R B' U2 F D2 R' B D U2 R U2,R' D' F' D U' F' D' U L F D R,R' F D R U' R2 B R D' R U F',39
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,D' L U2 F2,U2 B' U2 B' R2 F2 L2 F' D F' R2,R B L' B2 R B L B2 R' B2 U' R',U B D2 F' D' F L' D' B' U2 F U F' L,41
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,L2 U' R B L' B2 D2,B2 R' U' R2 F' R F D' B' R' B2 U,F D' L' D F R2 D2 L2 D' B D' R2 U2 F',L2 U2 B2 D' R D' R' D2 B2 U' L' U' L2,46
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D L U2 F' D L,L U F2 L2 R B2 D' U2 R' F2 U2 B,U2 L' F' L D' B' D2 R' F' R2 F D' U2,,31
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,R U R F' D F,B' F' L' B F U2 R' U R U',U' R' F R F' U2 L F U F' U' F' L',L2 U B2 D' B U B2 D B2 U' B L2 U',42
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,U' F' U' L' R2 F',B' U2 B' L U' L' R' U R B2 U,D F2 D B D B' D R U2 L' U' L2 U R',R2 D' F' U F U2 R2 D B D' R2 D U R2,45
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,R B2 R D F D,B L2 R2 D' F L2 F' L F R2 U2 B,D' U L' F U' L F' L' U2 F' D F U F',U L U' L' F2 L2 B F L' F' L B' L2 F2,46
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,F U R' B2 U F2,R' U R U R F U' L' U F' R' B2,L2 D F D' B U R D' L' D R' U' B' L2,L2 U B2 D' B U B2 D B2 U' B L2 U',45
