scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D' F U B,D' B2 U B2 D2 B R B' D2,L' R D' L R' B,L2 D F2 R2 F2 L2 U' L' B L' D L2 U2 B2,L' D B2 D' L R' B U2 B' R,43
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B R2 U' B D2 L,R' F2 D2 B F2 R' B' L2 U' L2,L' B' L R' U R,B2 R U' L' F D' F' D L U B R' B,D' F2 D L' R F' U2 F L R',45
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L D' L B' L2 R' B2,D2 R B L2 F' R' U' L F2 L,U' B L R' U' F L' R,L F R2 F2 U L' B' U2 R2 U' B R' U',,38
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F' L F' L2 D U2,L U F' U2 L2 R F' L B,L R2 D F' L' R U F' R,B' U' F' U' F2 R F' U R' U' B' R2 B2 U,R' B U2 B' L' R D B2 D' L,48
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B2 U2 R' B2 L B,L' D2 R' F2 U2 L U2 R' B2 L,L2 R2 D L2 R2 U',B2 R2 D' F R2 B R' F R U2 B L' U' L2 U',,37
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U' L' D2 F' U' L',F L' B2 R F' U2 B' R' B' D,L' R F2 D L R' B' D2,U' L2 F' U' B2 D' R' D2 R D B2 U L' F L',U' B' F R2 B F' U',46
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,D' B' U2 L B2,R' B2 D U F2 D L2 F R' F,L R2 F L R' D' L2 R',B F' L' D2 L B D' B U2 B' D F' R2 B2 U,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,52
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B' D F2 R2 F L',F' U F' D' F2 R' D' R U',B' R' B' L R' U L' R2 B,F2 U F2 L U2 F L' U2 F R U2 R' F' U2 F',U' B' F R2 B F' U',46
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,U2 B U F2 L2 B',F' R U2 B2 U B U F2 D F',D F2 U2 L U2 F2 D2 R D,L' U' R B' U B R' B2 D F2 D F2 R B2 L,F2 R F' R' F' R2 B U F U' B' F' R2,53
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R D' F D2 L' R',B' L R2 F' R' U2 F2 L' D2,D2 R D L2 R2 U' L2 R D2,L2 R' D' L D R2 D R D L2 F' L' R' B' R' B',R' B' R B F D2 B2 D' B D B D2 F',53
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,F U' L' U B',L2 R2 U2 L' B L' R2 D,F R' B' R' D B2 D' F' U,U F' D' U L U2 R2 U L U' R2 D F',F2 R F' R' F' R2 B U F U' B' F' R2,48
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,D L F2 D2 U',U' R' D' F D2 F' D' U,U B U B U' R' U' R U',B' R B U B L2 F2 D L2 B2 R U' B,R F' U2 F L R' D' F2 D L',45
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F U' B' L2 R,R2 U' L U' B2 U L' U R2,L' B L R' U' R,U2 L B' R2 F R F R B U' L' U,F2 R F' R' F' R2 B U F U' B' F' R2,45
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D' R2 F L2 D,F2 U' B L F L U' L2 R F,B2 L2 R2 F' L2 R2 B',U B L F2 R' F2 U2 L' B U' B U' B',,35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,U2 B' D L' D',D U B2 U' F D' F D2 L2 F2,R B2 R2 B' U2 B U R B',R B L' B' L2 D2 B U B' D2 U' L' R',D' F2 D L' R F' U2 F L R',47
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D' B F2 D2 R U2,D' B2 R' D U' L' D L D' B2,R' D' R' D U' B U R,B2 U L R' F2 L' B' R U' L' B D L U2 B2,R' B U2 B' L' R D B2 D' L,49
