scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,U F' D B L2 R F D2 L',U F2 L R B D' L2 R' B' U2 F2 D,D F' L2 B2 R' U2 R B2 L' F D' R U' R',F D R' D2 U2 L D' L' D2 U2 R F',47
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,F U' F2 L' D' B R2 F2,U' R2 F' U' L' B2 L F U R',R' F2 L' D' L' R2 B2 L2 U2 R B U B2 U' R2,F R' D2 U2 L D L' D2 U2 R D' F',45
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,R2 U' F D' F2 R' B' R2,L B2 U2 F' L' R B2 D' R2 D' R,L B2 R F R F' U R2 B L' B D,D F L B R D' R' B' L' F',41
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,D' U' L' D' F' U2 B' D,U L U' R' U' L' F' R2 B' F R B2,R U' L' U' L U' R' D2 B2 L' B L B2 D2 F2,D' R' B' L' F' D F L B R,45
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,U R B2 F' L' F2,U' R2 F R2 U2 L2 D R' D' B L2 U',L2 D2 L' R F' L2 R2 B' L R,F' D' F D B R2 F' R' F' R F2 R2 B',41
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,L B2 R F L2 F2 D,L' U2 R2 U L' D' L2 U' L D' L' U2,B2 U2 R U F2 R F U B2 L D F2 D' L',F L B R D R' B' L' F' D',43
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,R' U' B' U F' U' B2,F' D2 R D L F2 U' F2 R' B D L' D,D2 F' L2 F2 L' R' D L' B2 L' B' R D' F' D,F L B R D R' B' L' F' D',45
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,R B2 D B' L U2 F2 D,U2 F' L2 B R2 U R' B2 L2 F' D F2 U2,R2 U B2 L' B2 R B' L' D2 L2 B' R' B' U' R2,D B U F R F' U' B' D' R',46
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,D2 F' U' F2 R' B R' D,B' D U' R2 B2 D2 R D B' U R2 B,R' D U' L U L2 B' D L' D R F2 D2 L2 D',F2 D2 B' F' L' F L B D2 F' D' F' D,48
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,B2 D2 B2 U' B' F' U',D' R' D B L2 R D L B' D' L,U' B' R2 B' U' R2 B2 R2 B L R2 U' L' B2 U B2,F2 D2 B' F' L' F L B D2 F' D' F' D,47
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F U' R' U' F L D2 U2,F' R F U R2 D2 R B D F2 L F2,R' D L' R' B2 L U2 R' U' R B' U2 B2 R2 D',,35
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' U' L2 B2 U' F' D2 L,B' L' R2 D' L' R F2 L2 R2 U',U2 F' L B2 F2 D B2 F2 U' L' F U2,,30
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' F U L D' F2 R F2,R' D R' F2 D2 U R B L2 R' U2 F2,L F' L' R U L2 F' L' R U L' R2,F D R' D2 U2 L D' L' D2 U2 R F',44
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L2 F D' B U2 R' B' F2,D' F' L2 D2 L D' B' D' L2 F D,D L R' U2 L2 D B D' L2 U L' D' U R,D' R' B' L' F' D F L B R,43
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L R D2 F' R' B' R U,L2 B R2 B2 D' R' B2 D L2 U' F' R2,B2 R' B F R' B F' U B2 R B2,F' D' F D B R2 F' R' F' R F2 R2 B',44
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U' B L' R2 F D F U2,D2 L' B' U' B U' L' U2 L B' D2 U,L2 R' F D2 F2 D2 L D R' B' L D' U' R2 D,D B U F R F' U' B' D' R',45
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B L2 B2 U' L D2 U L',U F L2 F D' F' D2 L2 F' U' R2,F' D L2 U' L' D' B' U B' U B U B U F,F2 D2 B' F' L' F L B D2 F' D' F' D,47
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U2 F2 R' D B' L2 U2 B2,U2 B R' U' B' U' B F2 U2 F2 R' U2,R D U F' R' D U R2 U' B' R D2 R' F' L',R D B U F R' F' U' B' D',45
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L2 B' R F' L2 D2 U L,L B2 F R D' R2 D L' B2 D2 R,R' U B' R B D U2 B2 D U2 B' D' R D' U' R',F D R' D2 U2 L D' L' D2 U2 R F',47
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,D R' B U B D B2 R' F',D R' B U' B F2 L' F2 U B2 D' R2,U B U2 B' D' F D2 L' D' R D' F' D R' B' R2,F L B R D R' B' L' F' D',47
