scramble,orientation,step_0,step_1,step_2,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L' U' F2 U' R U2 B2 L F U',U' R2 D L2 R' U' L2 B2 L' B2 U2 R' F' U',R2 F D' R2 B' L B' U' L' B2 R' F' R,37
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R F2 D F R F L R2,D' B2 F D' F' U' R2 D B L U B L U2,D' F' R' D' B2 U2 B' F2 U R U B' R,35
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L2 D2 L' B R2 D2 F2,R' F2 L' D F' L F2 D F' D2 F2 R F L2 F',D' F' R' D' B2 U2 B' F2 U R U B' R,35
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F2 R' B2 R' F' U2 B' L2 R D F',F' U' R2 D L2 D' B D' L2 B' L' D' R2 U',L2 U' L' U' B L U L2 U' B' L U,37
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D2 F L D' F R' B' D' R,R2 D' B2 L' B D' R F D2 R B L2 F L' B',U B D F L' F' D' B' U' L,34
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R2 B' D2 R2 U2 R2 B' D' F L2,D L2 R' D' L F2 D' F2 L' F2 D2 F R D' L,F' R D2 U2 L' B L D2 U2 R',35
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B L' D2 U R' D2 B' R' F D',L' B' L' R2 U' R' U R U R2 B D F2 L D2,U' B2 F2 D R D' B2 F2 U L',35
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B' U2 B' F D2 L F R B2,U L' R2 D2 U F2 D' F U2 L B R' B R B,U' L' F L U F' D' B' L' B' U B2 D,37
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R' D' B2 U2 F R2 U' B' R',B2 D F U F R D' F' U' R2 F2 R2 U B2 L2,F D' L2 R2 U B' U' L2 R2 D,34
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,U L2 F U' R B' D' F' D' L,L' U R2 U F' D' F L2 D F2 R' D2 F D' U2 B',D' F' R' D' B2 U2 B' F2 U R U B' R,39
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,B' F U' R U2 R D2 F' L' D2,R' F2 L2 F R' D L B D B' R F2 L2 R,L2 F' D' L2 D L F U' L2 U2 L2 U L,37
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,R D U L' U B2 D2 F' U,R2 B D2 B' D' F' D' F R2 U2 R B R' U2,U2 B2 R2 F2 D F2 R2 B2 U',32
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,D' L' F2 R2 D' B2 L2 R',U2 L' D2 B R' D B' L' U2 B D' R B' D2,F2 D B R2 B' R' D' B' D2 B R F2,34
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,D2 F' R' U R2 U2 R B' F',F R B2 U L' U2 L U B' L' B' L B' R',U' L B2 F2 R' D R B2 F2 L',33
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,D2 L B L F' D B R2 U' B2,F2 L2 D2 B R' D' R D2 B' D L' F L',L U' B2 F2 D R' D' B2 F2 U,33
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,R' F D' L U' B' D2 B' U' F2,F2 U F L' R2 B R2 F' L F L F' U',U2 B F' L' F L B' F U' F' U',34
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,B2 D' F U L' B' R B' L' R2 D',U2 L2 D B D L2 D B2 R U B F' U F D',R2 U F2 D' U' F R2 D2 R2 F D R2,38
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,F' U F' U F L2 R' D' F',B2 U B' L R' F2 L B L B L' R' F' D2 B2,L U B' L' U2 L U B L' U' L' U2,36
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,F2 D F' R U' B D2 F2 U',R2 B' D R2 F' U' L U' L' F L R' D2 R F2,F' R D2 U2 L' B L D2 U2 R',34
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,F L2 D2 B' L B R' D' F U',D2 U' R U2 R B' U2 R' B L' F2 U' L2 R' U',F' L F U B D L' D' B' U',35
