scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L' B2 L U2 F2 D B2 R D,F2 L' U' R U' L R2 F2 R,R F U B' F R' B F2 R',R' B' U2 F R F' D F R' F' D' U2 B R,41
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,D F U R B2 R2 D' B L U2,D2 B2 L2 R2 B' L' B R2 B2 D2,B2 D' L B F' D' B' F D B2,F R' F D' L D R D' L' D F R' F2 R,44
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,L2 U' R D' R2 D' R D L,B' F R' B U' R' U2 R2 F',R F U' B' F R B F2 R',U L D' L' F2 U' L D F' R2 F L',39
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,D L D' B2 U' F2 D2 B' U B,F2 R2 F' R F R2 F' R F',U R2 U2 F' U2 R2 U2 F' U,L U2 B' R2 F' D' F U' B2 U' F' D' B' L,42
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,D' F' L' U F' R2 B2 L R2 F',R' F L F L' R' U' R2 U' F2,F' L F L' R U' R' F,U F' D2 F U' F' L2 U2 B L2 D2 R2 F2,41
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,L U' L B2 U2 L R2 U' L2 B,F' D R B2 U2 B2 D' R' F,,R2 F' R2 D2 L2 U R' U2 R U' B' U2 L2 D2,33
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,R' D2 B U R F L R' F,R U2 F' R F' R' F2 U2 R',B2 D' L D U' F' U B2,U2 L' R B R F2 R F R2 B' L D2 R' U2,40
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,R2 U L2 D' U' F' U' B',F2 U' R U' R F R' U2 F,R B F' U2 B' F R,U' B' D2 R' D R B' D2 B2 D R D' R' U R2,39
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D2 L2 B D R' B' L2 U B' F2,F' U R2 U' F2 R' U R F',R F U B' F R' B F2 R',L2 D R' D B D2 L' B' D2 B L' F2 R2 F2 R,43
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,U' R2 B U R2 F2 D' B' R2 U,F2 L D2 L D' B D' L' F2 L',F' R' U L R' F' L' R2 F,L R B L B D' B' D2 B' L F L U' F' R',44
