scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,R D2 L2 U B' R2,D' B2 U2 B2 F2 U' B D' R2 B2 U2 B F2,F D F' L' F L D' B2 U' B2 F',B F' L F L' B' F U F' U',40
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,D' F' R2 D R F',R' D2 B2 F2 L' B' D' L D2 R U L D,B2 F2 R' F R F' U' B' R' F R B' F,B2 D2 F2 R F2 D2 B2 L,40
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,B' D' B F' L' D2,U2 B' L2 F2 U2 B R2 B2 D' B' D' R2 F2 U,D L B' L F U2 B2 R' F R' B' D2 F2 D',B F' D' L2 D B' F L' U2 L,44
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,R2 U' F D' B D,R2 U' R2 F U' B F D B' D' F2 R2 U2 R2,F U' F' R U2 R2 F' L D' R F2 L' U2,B F' D' L2 D B' F L' U2 L,43
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,D B' R D F2,B2 U2 B2 U' B2 R' U' R U' B2 U',D' B D' F2 D B' D' F2 D2,F' U' L R' F2 L' R U' F,34
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,B U L' F' R' D,U' B R B R B U2 B L2 F D2 L2 U,L' B' R U2 R' B R' D2 B D2 B' L R F2,B F' D' L2 D B' F L' U2 L,43
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,D B2 F' R D B2,R' B2 D B' D' U' F U B' R2 U B' R',B U2 R' U R' F2 R2 U2 L' U' L B',B F' D' L2 D B' F L' U2 L,41
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,D' F' R B' D B,F' D L2 D' F' U' B' F2 U2 B2 U' B2 U B',B' F2 D2 B2 U R2 U B2 D' F2 D' B,U' L' U' L U2 L2 D' U' B' U B D L2,45
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,B' D' B' R' D',B U2 B D F R2 F2 L' F R2 D2 R2 D,D2 B F' R2 U F' D' F' D F U' B' D2 F,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,46
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,B2 D R' U R' B',L' F' U2 R' F' D' R B' L' B L2 U2 L2 F,L U' R' D' L B' D L' R U F' D F L',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,48
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L R2 B2 F R' D2 B2,F2 U' R B2 D2 B' D2 R' D2 U F D2 F,L2 D' F R2 F' D L2 D' B U2 B' D,,32
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' D' B' R F2 L',U F' L' U L' R2 U L' B2 R2 F2 D F',F U2 B' U' R' U R2 D2 L2 D2 R' B U' F',F' U' L R' F2 L' R U' F,42
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R B' L' U B2 F,D' R2 U' L U' L2 R2 F R2 U' F' D U2 B',B F D2 F R B R U' R' U F2 R2 B2 D2,F' U' L R' F2 L' R U' F,43
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L2 F' R2 D' R,L2 F' L B2 U' B2 U F' L2 F' U' L2 F2 L,B2 U' B' R D R D2 F2 D F' R2 B U2 B2,F' U' L R' F2 L' R U' F,42
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F L U B2 L R2,F' U' L' U' B2 R2 D' R2 U B2 L F U,B F U' B2 D L B' U2 B L D' B F',B F' L F L' B' F U F' U',42
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F R B2 R2 D',B D' L' R2 D' B2 U B U F' D2 F' U',L B R D' R' F2 D2 R D B' D F2 L',,31
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,B2 D' U2 L2 R,U' R2 D B L D2 L D2 B' D L' D2 R2,R' D2 R D R2 F D B' D L B D F',B2 D2 F2 R F2 D2 B2 L,39
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,D2 F' L D B2 D,R2 U B U R B R2 F2 L F2 L' U B' R',F2 R' D2 B' F L' B L' F' R F2 L,D' U' L2 U2 L U' L' U' L2 D F U F',45
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F R2 B2 R B D',F2 L R' U R' B F' L B2 D' R2 B L',B R2 F' R' U R' F D R2 D' B' D' R D,B2 D2 F2 R F2 D2 B2 L,41
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L' U2 F D B2 L',B R' D' B2 L' R' B D' L2 F L F2 D' U',D2 L D B R2 F' R F U F' U' B R B2 L',B F' L F L' B' F U F' U',45
