scramble,orientation,step_0,step_1,step_2,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B' U2 R2 B2 L' U' R' F',R2 F' R' D' F' D F2 D2 F' D2 R',R2 U2 F' D B' R2 B D' F U2 F2 R2,31
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F' U2 R2 F' L B2 U2,D2 R' B U B L2 U' L2 B2 R,F2 D' L' U B2 U' L2 D F2 L' D F2 D',30
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,R' F' U' F2 L2 B R B2 F2,D2 B R' B U' L2 U' L U' L B2 R D,B L F2 L' B L F' L2 U L2 U' B2 F',35
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U B' F D2 R2 D' B2 R',B R B2 L2 D' B' L2 B2 F2 D' R' D',B U R F R2 F R2 F2 R' F U F' U2 B',34
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F2 L' R2 B' D2 U B' U,R2 F R' D' F' D2 F D R F2 R2,B' U L2 F' L B' L' D2 B2 D2 F L' B U' B,34
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L R2 U2 B2 F U2 F',B D R D' F R' U B2 D2 B' U' B2 D,L' D L D' L U2 B' D' F R2 U2 B F' D L2,35
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F2 D2 L' D' B' U' R F,L' D' L2 B' R F' R' B D L2 D2 L',L D' U2 B2 U2 L' U2 B' U2 L D L' F' L2 F,35
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,D2 B' R2 F2 D B R B' U',D2 L2 R B' F2 L' B L R' D2 L,L2 F U B L' B' D L D' L U B2 U2 L' F',35
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L U L2 R D F2 R F',R2 F' R2 D B' D' L' B2 R2 F U' R2 B',L' U L D L' B' L D' B2 L' D B D' B U',36
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,U2 B L' F' U' F L',B2 L B2 D' R' B2 U B' U2 R B' D',F U B2 L2 D L D' L B' L2 U' F U2 B' U2 F2,35
