scramble,orientation,step_0,step_1,step_2,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,U2 F D' R' D' B' R U2 L2,L F D' B2 U2 R' U R D F2 R2 F L,R2 B' F' U' B2 L2 D' F2 L2 U2 F2 U B' F',36
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D B U' B D2 L B,F' D' R U R D L' B' U' F' L D B2 F2,F R' D2 L B' L R2 U2 R2 B' L' R D2 L',35
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,F' U' B2 U' L' D' F' R2,D' B' D2 F' R B F D' B D' L' B L B2,D L' F2 R U' L' R2 B2 L R' U R2 F2 L,36
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' F2 L B D' F' D F2 L2 R,R D R U' L' B D2 B' L U' R U2 R D',R' B' L2 B' L B' R B2 L2 F' D2 F L' B,38
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,L2 U2 R' F D' R' U2 B U,F2 U2 B U' B2 R' F2 L D2 B L' B' D2 B2,B L D2 B' L' B L D2 L2 D' L D B',36
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,L2 U' L' B F2 U' L2 F2 L F',D2 L' F' D2 R' B D2 F L B,D' L D' B2 L2 B' L U B U' B L B2 D2,34
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,R' D R' U L' F2 L' B' L2,U L' D2 L B' F' R2 B2 F U' B' D B2,D' B2 R2 D R U2 L' D2 L U2 R B2 D R2,36
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,L B' L2 D' U2 F' D R F2,U B2 D' B L' D' R2 D' B F2 R' B' L R2 U',F' R F' R' F' L B' L2 F' L2 B D2 L',37
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,F' L2 F2 D' L2 R2 D2 F2,B U' F2 R2 D' F D2 R F' U2 R U2 F2,R2 D' F' L' U' L' U L' B L B' L2 F D R2,36
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B' U F2 L2 D' U' L2 F L',D L2 D B' F' D2 B R D F L2 B D',B' L' B D L' D2 L2 R' B2 L' B' L' R D L2,37
