scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,L F' R D2 U F2 R2,L U2 B2 R' D2 B2 F2 L U2 L2,R U' L F' L' F' U F' U' F2 U2 R',L F' L B F' D' F D B' F L2,40
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,L' B2 F D F' R F' R2,B' F' L' U' L U F2 U' B U2 F' U',D2 R2 U' F D2 B' R B D2 F' R2 D2,R D2 R2 F R' B F' U B' R2 D2 R',44
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,B U' L' F2 U B R2 U,D L2 D' B2 U R B2 F U2 L F,F R F2 U' F' L F' L' B L B' R' F',B F' U2 B F' L B D B2 F2 U' B' R,45
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,R' D R U L2 B L2 U',B' U2 R2 B D F' D' F U2 L2 U,B D' L D' L' D2 B' L B D' B' L',B2 R2 U B' F R' D2 R' B' F D F2,43
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,R2 D F2 L' D B L U2,B' D' L D2 B' L2 D2 R' F2 U B' U,D B2 U R' B2 R U' R' B2 R B2 D',R F U' L' F L' R U' L2 R' U F' R',45
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,U2 F D F2 R' U' B' D',L F U2 F' R' F' L R U,R U' F U B' D R' D' B R' U' F' U,F2 R F' R' B2 F2 L F L' B2,40
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,B2 D R B' D2 R2 B R2,U' B2 D R' B F2 R U2 R B L F2,D2 F' L R2 B2 R B L' D2 R D2 F,U B2 L D' B D B U2 F R U F',44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,D' R' D' U2 B2 U L U2 R,D R F' D F2 U' L2 R2 D' B2 R' D2,R B' D2 F R' D F' R' D R' B U,L D U' F2 D2 U2 B L B' D U' L F',46
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D2 L D U2 B' F' R,L2 U' F U' B' R U' B L' F U,U' L' D' U2 L2 D U2 L U L' F2 L,L U' F' R' F2 R U F L' F2 L2 F2,42
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L2 U' R D U' L' B F2 D',U' B2 D' F' R2 D R B' D B' U2,R2 B' D' B2 U B D B2 U' R2,B F D2 B' F2 U L B L2 B' U' L' F,43
