scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,F2 R2 B L' D',L B2 D R D' B2 L',U' B' D2 B' D R' B2 R B' D2 B' U R2,B' F' D' L' F2 L F D L D2 L' B,37
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,D2 L' B U2 R U',F' R2 F U' R2 D' B R B2 U,D L' D R U2 B2 D2 B' L B' R' F2 D2 B2,R' F' D' U L F L' D U' F,40
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,R B' L2 B2 D L',D2 L' R2 F' L F2 D F2 D2 R2,R U R F L2 R D' F D2 B L2 F2 R' B',F D2 U2 B' L' B D2 U2 F' R,40
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,L U2 B F' D F,L U' L2 R' D' F' R2 B2 L R',B' D' F L' R D2 L R' D' B2 D B L F',D2 R B' D' L' D2 L B D R' D2 R2,42
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,D' F' L B' D2 L,B2 F2 L' B' U F2 L F2 L' B',D R B D F' U2 F L B R B2 L' D2 B',D' F' D2 L2 U2 B' U2 L2 D',39
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,U F2 L F U' B',R2 U' B' D' B' R' U,F2 R' B R F2 U B2 F' R2 F U' B' D2 B2,F D B R2 F' R' F' R F2 R2 B' F' D',40
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,F U2 L D2 B,D2 U' L R U' B2 U2 B L' B2 U,B2 D2 R B D' F' U2 F2 D' L' B2 F' D R2,R2 F' R' F R D2 B R B' R' D2 R2,42
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,U' B2 F' R' B,R2 B R2 U2 F' U' R B' R' F,F L B' U R B R' U' L B L F' D,D R2 D2 R' D F L D2 L' D' F' R D,41
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,L2 F U R U',D2 L2 B U R U2 R U' B' L2 D2,U' L' D U2 B' L2 D2 B U R' U R' F L U,R D' R' B' L' F' D F L B,41
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,B' R D2 U' B' L',D F' R2 F' D R2 F2 D R2 F2,B U B R' D' B2 F' R2 B2 F D B2 D' B U',R2 F' D' R' D B F R2 B2 L' D L B,44
R2 D L' D2 B2 U2 F' R2 U2 B R' B2 D' F R' D' B2 U B2 R2 F D L' B' U',x2,F L2 D R2 B',U' R' B L2 D' L' F' L' B2 D,B U B R2 B' D U' B' D R' B2 R B2,F' U2 R' B' R B U2 R F R',38
L2 D2 L' F B D' R F B2 D2 R' B2 U2 L' R U2 L2 U' B2 R U' B2 U2,x2,R' D2 F' L' U2 R',D F' D' F U2 L2 U' L F' U',U R2 B' L R B2 L' B' D R U' R D' R',D' B L2 R2 F' U F L2 R2 B',40
F2 U' F' U F2 R B D' F2 B' U' D2 F' L' U' D2 B2 U2 L' R B' R B',x2,B D L F R D2 B',R2 D' L2 D' L' F L' B R2 B',L' D' B' U2 F D2 U' B2 R B2 D2 U' L B,D' R' F D L D2 L' F' D' R D2 R2 D',44
F L' F2 B L' R D L' F D U' F' L' F R' B F U R' F B2 D2 L2 B2,x2,D' B R' F2 L2 B,R U' B2 L B' U2 B' L' U R',R2 D' B2 F2 L' U' L' U' F U B2 F D,U B R B' D U' L B' L' D',39
