scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,B D' L' B L' R2,L2 D2 L2 U' L2 B' D2 L U2 L U',D2 B' L2 B' L2 U' L2 U L' U' L2 U B2 D2,,31
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,D2 B U R2 D2 R,R' F' L2 F L' B2 F R2 B2 R' U',F2 R B R2 B' D2 L' F L D2 R' F2,,29
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,D B' U R' B,L U' B' U' B' R F L R' B2 U2 L',L' R2 B' R' F' R F' U' B F2 L R2,B R' U' L' U L R B2 L2 B' L B L B,43
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,B D B2 L' B F' L,R2 U' R F2 D U2 R D' U' R,D U R2 D' R' U R2 F2 D R D' U2,B R' U' L' U L R B2 L2 B' L B L B,43
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,B L2 F2 U B,R' U' B' D B2 U F2 L B' R' U2,U2 L R B' D2 B L' R2 U R F R' F' U,B R' U' L' U L R B2 L2 B' L B L B,44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,B U F L2 D' U2 L',F2 D' F D R' B2 L' B2 R' F U,U' R' D F R F' R2 D' F2 D R2 D' R U,B R' U' L' U L R B2 L2 B' L B L B,46
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R F' L2 B D,F R U R' U R F U2 F2,R' B' U L2 U2 R2 F' D2 R2 U R U B' U' B,,29
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,D F2 U' L2,U' B' R2 D' R' U' R' D2 U R' B,D' F' D2 B' U2 B' R B2 U2 R' B D' U2 R F,,30
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,B' R' B' U' B,D2 F2 R' D B2 U2 L2 F' D2 B2 R2 U,R D' B L2 F' L F L2 B' F2 D L F L' R',,32
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L B' D' B' U' B F2,F R' U F R2 F R2 F U',B2 L' F L2 F' D' L' D L D2 R D2 R' B2 L,,31
