scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,R2 U' L2 F,D2 U' B' U F2 R' F2 L,U L' D' F2 L F2 D' F L2 F' L2 D2 U',F' D B R2 F2 R2 B' D2 F' D2 F2 D' F,38
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,B',D F' R D' F' L2 F2 D' R,D' F' L' B2 F L2 R2 U L2 R2 B2 L D F,U B F' D F' D2 B' U B D L2 B' U2 F,38
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,U L' B',D2 U B F' U' R D R',D F2 U' L' F2 U F2 L R U2 L' U' R' D',R B2 L D' L' B D B R' U' B L B' U,39
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U' L' B' F',L' D' B' F2 U' B F2 D',F' U F' D2 L2 D F2 L2 D2 F U' R' D2 R,B' L' R B U2 B' R2 F L R B F2,38
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D2 R2 U',R' F' D' B R U B' R' F D2,L D2 U L' D2 F D2 F' L D2 R2 B R2 U' L',F2 R2 B2 L U B L' D' B D R2 F2 D,41
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,L2 R' U',F L D2 L D2 F' R2,D' R2 B U2 L' U2 B2 R2 B2 L D B L' B2,D L F L2 D2 B D2 B' L D2 L F' L' D,38
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,F U2 F,L' B R' B' U' B2 F' D' U,D L' B2 U B' U2 R2 B U B' U B' D' F2 L,L2 F D F' L2 B2 R2 U2 B U B' U2 R2 B2,41
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,F2 L2 B',F2 L' F R2 B U B' F D,U2 B2 F2 R' B2 F L2 F L2 F D' B2 R' B2 U2,U' F U2 F' R B L2 B F L B2 F' R' U,41
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B R' U',D' F2 R D U' R2 D2 F U,B' U L2 D' F2 L' F2 L' D L2 U' B,L F' L' F2 R U B L' D F' D' B' F U' R' F2,40
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,U2 R2 U',B2 L2 B' D' R' B' L D,D' L2 R' F' L' D U B U' L' F' D F2 R D,B' F L B R' B R2 U2 F2 R U2 B' R' F' R',41
