scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R L2 F2 D L R F' D2 L' U2 L' U' B L' R F D' L2 D L F2,x2,B2 U B L' B2 R' D' U,B D2 R U' F U F' U R' D2 B',B U' F L2 F' U B' R' B2 D2 B2 R,R2 F' D L2 D' F R2 F' D L2 D' F,43
L2 R' D' L' B' D R' U' R' D' R D F R L2 D' R2 D' U' R' F2,x2,B' L2 R2 U B U' L' D L,D2 U' F' D B' R2 B F R U F' R2 D,D2 R' U L' D' F D F' L F D2 U',F' D L2 D' F R2 F' D L2 D' F R2,46
B' U' L2 R B2 L2 U' B F' R F R D R2 L' D2 B' D' R2 L2 F',x2,D U2 L2 R' U R' B D,U' R' U B' R' F2 D2 F' R B F' R,L F2 D2 R' U2 B2 D2 L' U2 L',,30
R' F' D2 L D' B2 F2 U D' F B D R2 U F' D R D2 L' R2 U2 D L',x2,R D U2 L' B' U' L' F2,B U2 R2 U B D2 L2 B' R2 B D2 B2,B R2 D B' R B D' B' R' D' B R2 B',,33
R' L B' R' F' U R2 L2 B2 R' B D B2 D F' B2 L' D U R' L,x2,D' U' R' D B' U2 L R' U',L' D' R' D R' F' L B2 L2 F U' L2 B2,R' F' D' F2 R' D' R2 U' R' D R U F',,35
F D' R2 D L D2 U2 R' F' R2 U' F2 L2 B D R' U2 F' D R' F' U,x2,U F' D' L' U B R' F D2,L B' F R2 D' R D2 F2 R B R' F L',L2 B F' U F L' R2 B R' B' L R' B' L2,,36
U F B D' U2 B L' B U L' B' R U2 B U' B2 U2 D2 F2 R' D2 U2 B,x2,F2 L' U' B F2 U2 R2 U B',F R F' U2 F2 D2 L D B' D L' F2 U2,B2 L' F' L2 B' F D U L F L' D' U B',F' D L2 D' F R2 F' D L2 D' F R2,48
L R' F D' F' R' D' L' F D U F' U2 L2 D' F U' F' D2 U R' D' R2,x2,D2 R' B' U' F' R' F' U2 B,D' L R F2 D F D2 R2 D2 F L' R' D,R' B U R' D' F D U' B' R' D' R2 D R',F' D L2 D' F R2 F' D L2 D' F R2,48
B' F' L U R F' B D B R D2 B' L D B D2 F' D' L2 R B U L R2,x2,L R2 B2 U2 B' D B' D2 F2,L F R2 F U B' D B U' F2 L',B U' B2 D2 L2 F2 D2 B' F L U B L B D2,F' D L2 D' F R2 F' D L2 D' F R2,47
L2 B L' U2 B' D L D' U' R' U2 F L2 R2 D2 B2 R D F L2 F' L',x2,U' B2 R2 U' F U2 R' B,U2 F R B2 D' B2 L' F2 L R' F' U2,B' U F2 D F U' R' B' D B F' R F D' B,F' D L2 D' F R2 F' D L2 D' F R2,47
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,L R2 F D' R' B' L' R' D2,B' D B2 L D' L' F' D F D' F2 D B',L F' U B' R2 F D' F L2 F2 R2 B' F L',R2 F' D L2 D' F R2 F' D L2 D' F,48
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L B D' B2 L F R' D F2,D' R2 B2 R' B' R' B' L2 F2 L2 D,D' R2 U' R' U2 L F2 L D L2 F U' F D,F' D L2 D' F R2 F' D L2 D' F R2,46
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,U' B L' U' R D2 B',R B' R B L B2 U2 R' B' R U2 B2 L',R2 F' R' U F' U' F2 U R F R' U',R2 F' D L2 D' F R2 F' D L2 D' F,44
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D R' D F2 L2 R' U' B' L D2,F L2 D2 R' U2 R' D2 L2 U2 F' R2,D2 R D' U F' D' U',,28
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,D2 F L' D' L2 F2 D' F,B U2 R B2 F2 D2 R' F2 L R B,R2 F' U F' U' F2 R2 B' D' B,F' D L2 D' F R2 F' D L2 D' F R2,41
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,L2 B R' U' L U L2 F',R' B2 L U' R2 U2 L' R2 B2 F D F',R' B' F D F2 D L' R F' L R' B F,,33
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,L B2 F L' B D U2 R2 B' L2,R2 U B R F2 U2 R' B2 F' D2 B U' R2,D' L R D B R B' R' D2 R D L' R2 D,F' D L2 D' F R2 F' D L2 D' F R2,49
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,F L2 D' B D U R B',L' D' F' D' L2 R2 B U2 B' L' D2,B' F2 R2 B' F' D' B D' F L' R2 F2 L B,R2 F' D L2 D' F R2 F' D L2 D' F,45
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,D2 L' B D2 B L D2 B',B D2 F2 R' F' R D' B' R2 U L2 F2 U',R' F2 R' U2 F' U2 B' D' F2 D2 R F D2 R B,R2 F' D L2 D' F R2 F' D L2 D' F,48
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D2 L F' U2 R' F D L2 D2,F L' R' F2 L B' R2 D2 R2 D2 B F',B' D' U2 L F' D' R F2 R' D2 L' F D U2 B,,36
