scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,L F2 D R D,B F' U' B U' L' F' U B' L' U R,U L2 R' B2 L R' U2 B' L R' U R' U',F' D' U L2 D U' F',37
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U B2 R' B',U R' B' D2 L2 U' R2 B' F' U2 B2 L' D2,D' F2 L' B' F U B F D,R2 F' D L2 D' F R2 F' D L2 D' F,38
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U',R' B F' R' D' U2 B' R' D' F' D' F2,D F' D U' L' U' L D' U F' L F2 D',F2 U' B R D2 R' U F2 R D2 R' U' B' U,40
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F D2 R F',R2 B' D2 L' D2 B' R D' L U' F' U' B,F2 D L B2 F2 R' U' F' U' B2 F2 D F',F2 D R' B2 L U' L' B2 R2 D' R' F2,42
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B' D' B2 L,F2 D2 F U' L B' R U B2 R2 F' U2 F2,L D2 F' D2 B U' B2 D L2 D' B L',U2 B2 R' U2 L F' L' U2 R2 B' R' B' U2,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R U' F' L2,U' R' D F2 R B' R2 B2 D' U2 L' U2,D B F' R2 D' B' F D U' F U,L' U2 R B L B' L' R' U2 L2 U L' U',40
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R2 F2 R',B2 L2 B' U' L2 B D' B2 F U' B' R' B,B' F2 R D' L D' U B' D2 U' R' B F2,D' U2 R2 U2 F' U' F U' R2 D B' U2,41
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D L' R' F',L2 B' F2 U' R B2 L B2 D' L' B' U2 L',R B L2 R2 F U2 B2 R D2 L' R D2 B2,B' L F' U' L2 D' L U L' D B L2 F L',44
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,B F D R2,R' D' L U' B U R' U R2 F' D' B2 F2,B D R' B' F D B F' D' B',D L2 D' F' L2 B' R U R' B L2 D F' L2 D',42
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U' R2 B2 L,U' L' B' F' D2 B U' R2 D' F' U B,F2 U' L R' F D2 F R2 U' L' R B R2 U',D F' L' F' D2 F2 L F' L B' L B F L2 D',45
