scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B' D2 B' D B2 L U' B R2 U',B' R F L' F U L R' B F2,F2 L B F' D2 B' F L F2,F2 D2 F2 R F' U R2 B' L2 B R2 U' F R',43
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U2 R2 U2 F2 L' U R2 B' F' D',L B2 F L D F' D' B2 L',F' D R2 U' B2 U R2 D2 F2 D F',U' R' U R U' R B2 L' D L B2 R' U,43
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L2 D' L R2 D' F2 D2 B' U' F2,B' D' L R' D2 R D L' D B,L R' F2 U F R U R' U' F L' R,F2 L2 U2 R' U2 L2 F2 L' F' U2 R2 U2 F L,46
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R B2 U' R2 B2 F U2 B' D F,U F2 U' B' L D L' B R2,R' D F U2 L' F L2 F' D' L U2 F' D',F2 D L' R F2 L R' D F2,41
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F' L U' B F' L' F2 L' U' L',U2 F2 R2 D' F U F L2 D U,B' L' D' B U L2 U' B' D F2 L B,B' D2 R2 F' R F D' B' D' B R2 D2 B R,46
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,U2 F2 R' F R' F' U2 F' U' B,D' L R' D L' R D,F U' B D' U B F' R B' U' B' U,F' R2 F R2 D' B R2 B' D F D' F' R2 D,43
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,B F U' B F' D B2 L2 B D,L B' R F' R' B2 D2 B' F L,L2 F' L' F' R F L U F' U' F2 L2 R',D U' R' D2 R2 D R2 D R2 F D' F' D R' U,48
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L R' F' U' R2 U B' L2 U2 B,F L' B' F2 D' B F2 L F',B' L2 B R2 B' L R D2 L R' B' R2,R F R D' R2 D2 F2 L2 D' R2 D L F' L F2,46
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' U' R F L R B L U' L',B' D2 L D' L' D' B,F U' R2 B2 D2 U2 B D B' U' R2 F' D F2,U' R2 B' D' L' F D' L2 B' L U F' L2 B2 U,46
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D2 U2 L2 U L' B' R' B' D' U' R2,R D2 L D' R' D' B D B' L',L D' F2 L2 F' L2 D' L D L2 F' D L',B F U' B D L2 B' U' L2 U B2 D' B U F',49
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,U L' B2 D' L' B' R U F L,R2 F' D R2 U' B' R' B' D' U F,D U' B2 D' U R2,B D R' B' D' B2 D R B' D' B2 D,39
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U2 L' U' B2 L2 B D' F' U2 L',L B2 F L B F' D2 B L',F U F2 D2 L2 U L2 U B2 D2 U F,D' L R' B R B' L' R D R',41
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,D2 R' U' B' U2 F D L,R' B F' R' F L D L' R B',F R2 D' R2 D2 U' B D' B U F',B' R B' U2 B R' F2 L' B D2 F' R F' R',43
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,B U2 R' F2 D' U R' B L F',F R2 F U L' U L U2 R2 F',U' B2 U F D U' L B2 L' U F' R',R2 B R B' R D' F L D L' F' D,44
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U R D B' F U' B U' F',L R D R' D' L',U2 B2 L' D' F' D B' D' B' F L U2 R',B D L R' B2 L' R D B',37
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,U' F' U2 R' U' B F2 R2 U2,L D B' D B D2 L',U' F D' F' D2 U' B D B' D2 U2,R' B2 F' D2 B2 R' B' D B' D2 F D' B2 R,41
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F D' B' L R' F' L2 R2 F D',B2 U2 L' U2 B2 D2 R' D2,U2 B' D' B2 R' D R B' F' R F R' U2,U F2 D2 L' F' L F' D' U' R2 F D F',44
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,U' F L' R2 B' D2 B2 R2 U2 R,B' D2 F' D U' B R B' U B F,U2 L U2 F2 R2 F2 L' F2 L F2 R',R B2 F L B' L' B2 D' F' D' R' D B,45
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,F2 D' L' R2 B R B' U' R U2,B' D' F2 D B U' R2 U,D2 U L' D L D2 B2 D B D2 U R2 U2,F' R B2 F D' B2 U R' U' R U R2 U' R2,45
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L U' R' U B' R B' R2 U2 R2,R2 B F2 R' D' F2 D R B' R2 F2,F D B D' B' F2 L B' L' B F,R B R' B L U' B' U R B L' B2 D R',46
