scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 D2 L' F B D' R F B2 D2 R' B2 U2 L' R U2 L2 U' B2 R U' B2 U2,x2,B2 R2 B L' R2 B F,U B' U F U2 B' R' B2 U' F',U2 R F' R F U2 R2 U2 R' B U' B',F R B F' U' B',B L' U R2 U L R' F' R2 F' R B',47
F2 U' F' U F2 R B D' F2 B' U' D2 F' L' U' D2 B2 U2 L' R B' R B',x2,U2 L2 D R' B D R',B' R2 U L' B' L U R2 B F2,U F U2 R' F' R F' U2 F2 U F,B F' U2 B' F R2,R F' D' U L F' L' D U' F,44
B' R2 B2 U B' U2 F2 D R2 F U2 L R U R' B L D U' R' B F' U B',x2,L D B U2 L' B2 L',U2 F2 U L' U' L2 U' F U2 L',D R B' U' R2 B' U B D' F' U F,,F' R2 B' D' F D B R F R' F' R F,42
F L' F2 B L' R D L' F D U' F' L' F R' B F U R' F B2 D2 L2 B2,x2,R B R2 D2 B2,F' D L2 B' R B' L2 D',D2 B2 U' R2 F L2 U' F U' R' B L2,B F' U2 B' F R2,B U' B L2 D F' R F L2 R' B2 R U,44
R2 D L' D2 B2 U2 F' R2 U2 B R' B2 D' F R' D' B2 U B2 R2 F D L' B' U',x2,B' D' R' D' B R2,B' F2 R2 F' U2 R2 B' R' B2 F' U,D U' R B' U' B R' B' R2 U R B D',B F2 U B' F R' F,B U2 F2 R2 F2 U R2 B F U2 B2 F2 R' F',51
L2 R' D L2 U D2 L B D2 R F' U2 L D B2 F R' U2 L' F' L2 R' U2,x2,U' L R B U2 R2,U R' B' U' F R U' R' B R,U R F2 U F R2 U' F2 R' F' U,,B' D F2 D B F' R' B' F' D' B,38
F' R D2 R U2 R2 U2 R' B' D2 R D2 B D2 L2 F' B2 D R2 L' D F' L,x2,B' L2 D' L2 F2 D2 B,D R F2 D' U F2 L2 U' F',U R' U' R2 U L2 B' D R2 B L' F' L',B F2 U B' F R' F,R D R' D' F2 R' U' R U F2,46
U' F U B2 L R2 D' B2 R2 L' F R2 D2 F L2 U D F R U2 R' F R,x2,B F R' F D2 R',R' U B2 F2 R' B2 F2 U' R,U' F2 U2 R' F R F U' F' U F2 U,B U' L R' F L' R B',U F' U2 R D' U F' D2 R2 D' U F' U',48
D R2 F' L2 F2 U B2 L2 F' B' D' R2 L' U D B2 D' L B F' R F2,x2,F D' L B' R F,F D2 U' B2 D' R U R D',F2 U2 F L F' L' F U' B' R' B F U',L2 F' R' B' F D B L2,D B' L' B2 U F2 R2 B2 D F2 L' B D',49
F R2 D' R B' L' R F' B2 R2 L2 D F' R2 B' U B2 F2 U' L F,x2,B2 L' U2 F' R' F2,U L D L2 D L2 F D' L' F U',D F' L2 U' L' B L U L2 F R' D',R2 B F' U2 B' F,F' D' R' F' L2 B2 R B U B L2 R D,48
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,R F L F2 D2 L2 D,F2 U B' U2 F U R U2 R2 B,U2 R U R2 B U B' U L F L',F R B F' U' B',B' L2 F' D' L' F L' B2 U' R B' R',46
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,F' D L2 F' L' R2,D2 B' D U B L U L2 B' D,D2 L2 D' R' D L U R' U' L R D2,D2 B2 R D2 F2 U2 L F2,B F2 U' F' U' F U B' F2 R F R',48
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,R B2 F' R' D R',U' B' F U R2 U2 R' B U2 F',U' L' U2 L F U2 L F2 L2 U L F2,B' R2 B2 F2 U B' F R' U2 F,F R D' U F D U' R2 F',47
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,U' B U L' R' B R F',U2 B2 R' B D R' D2 F2 D B,D R U R D' R' F' R F' U2 F2,F R B F' U' B',B' D' L2 U R2 F2 L2 D R2 B' F' R F,48
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,U' L D' B2 D2 B L',L' B2 D F D' B2 F' L F,R2 B R' D' F2 L U F2 D U2 R' B',B U' L R' F L' R B',F R' D2 U2 F2 D U' R2 F D U' F',48
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,F' L U L B2 U,U2 B' F2 U' R' F2 U B' R2 B2 U,R2 U' R' B' R B R' F2 U' F2 R' U,B U' L R' F L' R B',F L D2 B' F D B F' R' D2 L' F',49
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,F2 R' B D2 U R' B L',D B D' R' D2 B' D2 F U,R U2 B' U F2 U2 R2 U B U2 R' F',R2 B F' U2 B' F,F' D B' D2 F2 D2 B2 D' F D B' R' D' R',49
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,B' R' B' L2 D U,D' R D R' D2 L D' L' D',R F U R2 F' R' U' F U2 F2 U2,L2 F' R' B' F D B L2,U' B2 D B D B' D2 B2 D U R D' R',47
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,R' D R2 U' B2 L B2,D' L' B' L2 D2 U' R' U' F' D',D2 U' B L' U' L2 B2 U L U' B D2,F R B F' U' B',R' B2 L U' L' B' R B' F' D' R D F,48
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,F' D2 R' D U2 R F2,B' U2 F R' F' L' B2 U' L B,R' F R F' D R' U' R D' L F L',B U B' F R' F',B' U' L R' F' L R' D' L R' B' L R' B,49
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D' R' U B2 L' D2,B' U R2 F' R2 U L2 B2 L2 B,U' B' U F' U' R' F R2 B F2 U' F2,B U B' F R' F',B' L' F' R' F' L R' D R D R B,46
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,L' F U2 B' U2 F2 D',U B2 R2 U' R2 D R B2 L2 D',F L' F2 L F U L' F L B' R' B,L2 F' R' B' F D B L2,D' F D2 R D2 F2 D2 R D2 F D,48
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,F R' D B' D' B L,F L' U B2 D2 B2 L' F2 L2 U2,L2 F2 R' F' R F' D F' D' L2 U',D2 B2 R D2 F2 U2 L F2,B U R2 B U F' L' U2 L B' F U' B' R',50
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,D2 R F' L2 D' U' R,B' U' R U2 L F2 L' B U,U2 R' B' U F' U2 R2 U B R' F R2,R2 B F' U2 B' F,R D F' R' F2 R F R D' F' R' F2,46
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,U2 B R' D2 B' D,F U2 L F U2 L' F' U2,U F D F' R' F U2 R U2 F D' F2,B U' B' F R F',F' R F2 R D' U F' D U' F2 R' F,44
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,F' L U2 B2 F2 U2 B,U2 L U2 R' U L' U' R,D' F L' F' D2 B2 U B R' B2 D' R',B F' U2 B' F R2,B2 F' D2 U L2 D2 U' R F D R2 D' R' B2,47
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,L D2 R F U2 R',B2 F' D' F R2 F U F2 R2 D,D F R B' R B F' R' D' R U' R',B' R2 B2 F2 U B' F R' U2 F,B' D2 B L' R D' F2 D L R',48
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B L2 D B U2 R' B',F L D U2 R D' F' U L' F',U2 R U' L R' F L' U2,F R B F' U2 B' F R F',L2 B2 R D U' B L2 F2 R D' U F,46
