scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L2 B R D',B2 U2 L' U2 B2 L',F' L F2 D2 B' L' F L' B D F2 D,D2 F' U R U' B' U B R' U' F D2,,34
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F' L' U' R B' L' F2,D U' B' L2 D' B2,F' U' B F2 R D2 R' B' D2 F2 U L' F,B2 U2 L F' L F L2 U' B U' B' R B2 R',,40
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,B L2 R' B',R2 F' L R2 B' D2 U B,F' D L' F R' B2 U B' U' B' L R,D' L' U2 L U' B2 U2 B2 D2 U' L' D' U2 L2,,38
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R' B2 U2 F D' R B',U' B R2 D2 U L' D2 R2,F' L' F L F2 D' F L D F L',B2 U' R2 B2 U B2 R' F2 L D' L' F2 R' U B2,,41
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F2 D2 L' U' F D',F' L2 B D F U2 B' L',F2 D B R' B R B2 D' F L' F,R2 D' L D2 F' D B2 F2 U' F L2 U2 B2 F2 L' D,,41
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,D' F L' R,B2 D U L' B' L' D' U,R' F2 R B D' B' R' F L' F R,L U2 L2 B L' F' L R B R' B2 L' F L' U2 L',,39
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B' R2 D2 R B',D R2 D F R2 D',R F' L' F' L B D' B' D L2 F2 R',L' D2 R B L B' L' R2 D2 R' B' L B2 R B2 R,,39
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,R2 U' B L R2,B2 L B' F U' B' R F',U' B R F R D2 B' D2 F' U,D U2 L U' R' B2 D L D' B2 R' U2 L' R2 D' U',,39
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,R F U2 F' U R',U F L2 U R U2 L2 F',B' F' L B F' D2 L' D L D F2,L2 R D R2 D R2 D2 R2 D L2 R,,36
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,F D' F R2 U,D L' B' D' B,R' F' L2 F U L' B2 L B2 U' R,U L R F U F' L' R U2 B' U2 R2 F' U' F,,36
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D' F L B' F2 D B',B2 U' L' F U R2 B2 F',R' F' D L' D' B2 L' B2 F R,U2 L' D2 L2 F2 U' R U2 R' F2 U' L2 D2 L U',,40
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,B2 L R2 U,B2 D L2 D' B2 U,D' L2 B U2 F' R2 D2 R F D U2 B',B2 D U' B U2 B' F2 U F2 D R2 U2 R2 D2 B2,,37
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D B2 R2 F' D2 B2,R2 D2 F' D R2 D,F2 D' F L2 D F' D F D2 F,D B' U B' L' U R' U F2 L R' U B2 D2 L2 F2,,38
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,R2 U F' R' B',B R' D2 U' F D2 B' R,F2 D2 R F2 L F' L2 F' R' D F2,F' R2 F U2 L F R2 B F2 R' F' U2 B' L' U2 R',,40
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,F U2 B D B',B D' F2 U R' F2 D B',F D2 R F L2 R' D F' D F' L',F2 L R D L' R U L' U' L' B2 R D L2 U R,,40
