scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 U2 R U' B R U2 B' F' D',B' L2 F' L' B2 D B' D' L2 D2 F L,L' F U' B' U F' R' U' R U' B U2 L,R2 B U' B2 D B2 U B D' B2 U R2 U',48
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B2 U' R' D2 R' F U' L R2,L U' R' B2 R' U L2 R2 F' D L' F L2,D' L U' L' U2 R2 D L' D' R' B2 R' D L,,36
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,B R U2 R2 B' D' B2 R2 D' F,F' U R U' F2 U' L U2 R' U' F',B U' L2 B2 L2 U2 B2 D U2 L2 D' B,U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L' B D' F R2 B' L2 R' U' L,R D2 B D B' D L' R' D' L D,F2 R D2 R D2 B D2 R' D2 R B' R2 F2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,47
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D U B U F R' U' L2 B F',D' B D2 R D' R2 D2 R2 B' D' R' D' R,R' F' L' F' L' F2 L2 R U2 B L B' L2 U2,,37
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B2 R' D' L2 D B F D2 U',B2 F2 R2 B' D2 F D' B2 L' F L B,F2 R D' B2 D R' F2 R D' B2 D R',R2 B U' B2 D B2 U B D' B2 U R2 U',46
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B U2 B L' F L2 R' B' D',U F' U L D2 L' D2 U' F U',B D' B' U2 B D B' U2,R2 B U' B2 D B2 U B D' B2 U R2 U',40
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R2 U R2 U B D' B2 R',L D2 U L2 U L' U2 L' D2 L',F2 L R' F R F' L' F2 R' F R,R2 B U' B2 D B2 U B D' B2 U R2 U',42
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F R' U R' B2 R' D B' D L',L' D2 B D' F' D R2 B' D F' D F2 L,L2 U2 F U B F2 D' L2 D B' F L2,R2 B U' B2 D B2 U B D' B2 U R2 U',48
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 F U B2 L' U2 L' D B' U',B' F D' B2 D B F' R B2 R',L R' U' R2 B' R' B2 D U' B' U2 B D' B' L',R2 B U' B2 D B2 U B D' B2 U R2 U',48
