scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,R2 F R U2 L2,L U2 L U F2 D2 F' U L D2 B2 L2 B',D F' U2 R D R' D' B' D B U2 F D',L' U L U' R U2 L' U L U2 R',42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 B F2 D2 L F,R' U2 F L D B D2 R' B' D' R U2 B2 D2,L2 U L2 D' F2 R F2 D L2 U' L2,,31
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L' F2 D2 L' F,R2 D' R2 D' B2 R' D' B2 F' D2 R F R,L2 R2 B2 U R D' R D2 U' B2 D' L2 R2,L' U L U' L F2 R' D R F2 L',42
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U2 B2 F U2 L,U' F2 L D F' L D' B' F2 D2 B2 L B2 U,D2 L U R U2 B' D B U2 R' U' L' D2,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,46
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D B' F D' F2 L,B F2 L R2 U' B' R' D L F2 U' L2 D' F2,L F D' F' D' F D2 F' D' L',D2 L D L B2 R2 U R U' R B2 L2 D2,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B2 R' B F' L D' U',R B2 R B L' F L2 U L B' F' L2 R2,F2 L' U' R2 B L' D' R' B L2 U' R',L2 B2 R B D B' D' R2 B L B' R B L,46
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L2 F D U2 L',D' R D2 B F2 L' U2 F2 L2 B' L' D' R',U F2 U' F2 L' U L F2 L D2 R D2 L',D F' D R' D L B L' D' L B2 L' R F,45
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 F' U' L' R' F,U B L R' D' U' L F D2 U' B D' F2 L',L R' D R' D2 R2 D R' D R2 D2 L',B' U' B U2 F' L2 F L2 U' B L2 B' L2,45
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D B U2 B2 L2 F,F2 U L' R2 F2 D F2 D' F2 D L F U' F,R2 F' R' F2 R D2 R' F2 R D2 F R2,U F R U' B' U' B' U' B2 U2 B R2 F R F2,47
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D2 B' F2 L U' L,R B' F' L R B U F' D B' F' R D F' U,U' L F D2 R' D2 F2 L' F L' U2 L U',L' B' R2 F R F' U R B L2 F' L' F U',48
