scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D' U' F D R D',R2 D' B2 D' U' R U R' B2 U R2 U',U' B U B' D' B' U' B U B D,U2 R' B D2 B' R U2 R' B D2 B' R,41
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B' L R B2 D' L2,F2 D R2 D R2 B' L B' U L' B2 D F2,D' U L2 B F R' B' R F' L2 D U',D2 R' D' L2 D R D' L2 D',40
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U2 R' B2 U R' F2 U B',F2 L2 F R2 F' L R F' L R' D2 F2,R2 B R' D2 R D B' D R2 U' B' U,D2 R' D' L2 D R D' L2 D',41
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R2 F2 D2 L' D R D2,R2 D' B D2 F R D F' D2 B' R2,R' D R2 D' R' D' B D R' D' R' B' R2,U2 L' D' L U2 L' D L,39
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,L' B U' B2 D' L D' R,R B U' F' U' R' U2 R2 F U R B',F R2 F L' F2 R2 F D2 F D2 L F2,B D B' U2 B D' B' U2,40
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B D U2 R2 U B L D,U' R2 D R' U2 L' F L D2 U2 R' U,B' U F2 D' F' D2 F' U' B R2,B D F2 D' B' D F2 D',38
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F L' B' R F2 D2 B',F' D' B F R' D F D' B' D' R D R,B' F2 D' B2 U B' D B U' B' F2,B D F2 D' B' D F2 D',39
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F U B F' R' B L,R U R U L R' B2 U' B' U B F2 L',D' B D L2 U2 F U F' U L2,D2 F D B2 D' F' D B2 D,39
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L2 R' B R D' F L2 F2,R' U L2 D2 L U2 B' U2 F L U',D' U' B U B2 U' B U B D,D L2 D R' D' L2 D R D2,38
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L2 F R D R2 B' L,F' D B L F2 D' F2 D' L' D2 R B' F',U2 B' F' L B2 F' L' F L' B' U2 F,D2 F D B2 D' F' D B2 D,41
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R' F R' F2 U F2 L',R' F2 D U B' D' B U' F2 D' R,B' F2 L' D L D F' R' F D2 F2 R B R',R2 D' B2 D R' D' R B2 R' D R',43
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,F L2 B2 F D2 R U,L R2 D' L2 F' R2 F' L F' D' R F2,B2 F2 U' B D' B' U B2 D F2,D2 F2 U L2 D' U' B D F' D F' D B',42
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U' B' D F' L' U F2 U,L' F R F D' R F R' F D L,B2 U' L U' L' R2 F' L F R2 U2 B2,R2 D' B2 D R' D' R B2 R' D R',42
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,D U B U2 R F U' R',R2 D F2 D F2 R2 D' F' R F2 R' F',B U' R F' D2 F R' B' L2 B U B',R' D2 R B' U2 B R' D2 R B' U2 B,44
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,U' F' U2 B' D R' D2 L2,F' U' R' B2 L' U' F' U L D2 B2 U F2,R2 F2 L D' B D B' D L' D' F2 R2,R2 D' B2 D R' D' R B2 R' D R',44
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,D F' L D' R' F' U,R D R F2 D' R B2 U2 R B2 D2 L,L2 B U B' F2 U' L2 B2 L' D L R2 D' B2,D2 F D B2 D' F' D B2 D,42
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,R2 B' R' B' R2 D2 U' L2,F D2 F' D F2 D R2 F R2 D F2,B F2 D2 B' R D' R' D B D2 B' F2,L' F2 L B L' F2 L B',39
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D' B L2 F' U' B' F2 L,B' F2 U2 R' B' R U2 R2 D' R2 B F2,U' L2 U2 B F2 R B' R' F2 U2 L2 U,D2 F D B2 D' F' D B2 D,41
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D R' F' U' L2 D2 U B2,R' F R' D2 B D' F D2 F2 R2 D' B' R2,L' B U' L2 B2 L B2 L U B' L,D' B2 D' F D B2 D' F' D2,41
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,U F R2 D2 L U2 F L2,L2 D2 B' D B L R2 F L D U2 R2 U2,D' U' B2 D B D' B' R' B R B2 D U,B D B' U2 B D' B' U2,42
