scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,oll,pll,total_moves
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,F R D' U' B2 L R,L2 F' L U L U2 F,L U L' B U' B',R2 D2 L' D2 R2,R' F U2 F2 U2 F R,L2 U' L' U L2 U' L' F' L' F L,L F2 L B2 R' D2 F2 R B2 L' U2 L',55
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,U2 B2 R B' D R',R2 D2 B2 L' B2 D2 R2,L U' L2 B L U B',R2 D2 L' D2 R2,R' F U2 F R' F2 R U2 R,L F' L' B' F2 U' R' U R B F',L U2 L' B2 R B R F R2 B R' F' R,58
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,L' U2 L' B D2,U F' L F' L' F2,L R' U2 R U' L',D' U' B' U B D,B2 U' F U B2 F',F2 R' F' R2 U' R2 F R F2,L' B' L F' L' R' B L B' R B F,50
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,B2 F D R' F',B' R B U2 R',U2 B L' U B' L,D L B L' B' U' L' D',D2 F U2 F' D2,L' U B' U' B U2 L U' F U F',B L' U2 L B' L' B U2 B' L,50
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,R' D L F R D,R2 B2 R2 B2,R' B' U2 B U R,D' L U L' D,D2 L' U' L D2 L' U L,U B' R2 D' F D R2 B,L U' L2 D' L U2 L' U' B2 U B2 D L U',51
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,D L' B R B D2,U R' U R2 U R',B' U B2 U' B',D' B' U' B D,R2 F R2 U' R' U2 R' F' R2,B D U L' U' L D' B' U2,L F' L' R2 B L' B' R2 B L2 F L' B',53
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,F U B2 L2 F',R F R U' F' R',L' U L' B2 L2 B2,F' D' L D F,B2 U L' U' L B2,U' L' U B' U' B U2 L U' F U F',B2 R U' R2 U B2 U' B2 R B2 R U R',53
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,F' L B' R F',L F' L' U2 F,R' U2 B' U' B R,R2 D2 L' D2 R2,B U2 L2 F' L B L B2 F,U2 B' R' U' R B2 D L2 D' B',L' B L R2 F' L F R2 F' L2 B' L F,53
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,F2 R2 F R' B D F,U R' D2 L' D2 R,B' U B2 U B',,D2 R2 F U' F' U R2 D2,L' F' U2 F R2 D B' D' L R2,U B F D2 B' U' B D2 B2 U F' U' B,49
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,R D' R' B',B' R B U2 R',B' R' U2 R2 B R',,U' B2 U' L' U' L U B2,B' U' B2 D L2 F' L F L' D' B' U,R' F R B2 L B R B' L' B R2 F' R B,49
R2 D L' D2 B2 U2 F' R2 U2 B R' B2 D' F R' D' B2 U B2 R2 F D L' B' U',x2,R B' D' B F2 L,F' R' U F R F,B2 U' B U L2 B2 L2,D' B' U2 B D,U' L' D B' U' B D' L,U R' F2 U' F U F2 R U',L' B U2 B' L B L' U2 L B',51
F2 U' F' U F2 R B D' F2 B' U' D2 F' L' U' D2 B2 U2 L' R B' R B',x2,R' U2 L2 B D R2,R2 U R' U' R2,B' U B2 U B',D' B' U B D,L' D U B' U2 B D' L,U L' F' L2 U L2 U' L2 U' F L,R' B D2 B' R U2 R' B D2 B' R U2,52
L2 D2 L' F B D' R F B2 D2 R' B2 U2 L' R U2 L2 U' B2 R U' B2 U2,x2,B' L' U2 B F2 R,U B F' U B' F,B' U2 B' R B2 R',D L B L' B' U' L' D',D2 U2 F U' F' D2,U' R B L2 R' U2 R B2 L' B R' U,D F D' F2 U L2 U' L2 F D' L2 D L2,57
B' R2 B2 U B' U2 F2 D R2 F U2 L R U R' B L D U' R' B F' U B',x2,R F R B D' R B',U2 L2 F2 L2 F2,B' R' U2 R2 B R',D' L U2 L' D,D2 U' F U F' D2,L2 U' L' U L F' U' L2 U F L,B U' F' U2 B2 U' B' U' F U R2 B2 R2,53
F L' F2 B L' R D L' F D U' F' L' F R' B F U R' F B2 D2 L2 B2,x2,B' L' D R' B F D2,F' U L2 F' L' F2 L',U2 B' U R B R',D' B' U' B D,U' R2 F R U2 R' F' R2,U2 L' U' B L' B' L2 U F U F',B L B' R B F L' B L F' L' B2 R',57
L2 R' D L2 U D2 L B D2 R F' U2 L D B2 F R' U2 L' F' L2 R' U2,x2,L R2 U B F2 R,R F R' F' R',U B U2 B2 U2 B,D' U' B' U B D,R' F U2 F R' F2 R U2 R,U B' U' B2 D L2 D' B',U2 B' R B R' U2 B2 L F' L F L2 B2,53
F' R D2 R U2 R2 U2 R' B' D2 R D2 B D2 L2 F' B2 D R2 L' D F' L,x2,R2 F' U L2,R' F' R2 U R2 F R,B U' B L2 B2 L2,D' B' U B D,R' U2 R D2 R' U2 R D2,F U F U2 L F' L' U2 F2 U2,U B2 D' B2 D F' L2 D L2 D' F L2 U' L2,54
F R2 D' R B' L' R F' B2 R2 L2 D F' R2 B' U B2 F2 U' L F,x2,B2 R' U' F L' R',U B U F' U' B' F,D' B U2 B' D,D' L U' L' D,B L' B2 F' L' F L B,F U2 F' L' R' U L U' R,F' L B2 F R' F R B2 R' F2 L' F R,53
U' F U B2 L R2 D' B2 R2 L' F R2 D2 F L2 U D F R U2 R' F R,x2,F' L B' R B' F,U2 R2 B' R' B U2 R',U' R B2 R' B U' B,D' B' U2 B D,B2 U' F U B2 F',U' L' B' U' B U L,R B R' U2 F D2 F' U2 F D2 R B' R' F',52
D R2 F' L2 F2 U B2 L2 F' B' D' R2 L' U D B2 D' L B F' R F2,x2,B2 R F D B L F2,F D U2 R' D' F',L R' U' L' U R,R2 D2 L2 D2 R2,L' D B' U B D' L,L' U' L U' L' U B' U B L U',U' B' F' D' L2 F D' U' B D U F' L2 D B F,58
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,L2 U F' L R B F',F L F' L' F',U B2 L2 B2 L2,D' B' U B D,B2 L' B2 U2 B U B L B2,U2 F R U B U B' U' R' F',R' U2 R' D' R U2 R' D R2,50
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,F L F2 D' R2 F',F' U' F2 D R D' F',L' D' B' U B2 D L,R2 D2 L2 D2 R2,L' D U2 L U2 L' D' U' L,U' F U' F U2 L F2 L' U2 F2,R2 F2 R' B' R F2 R' B R',53
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,L R' F' D' B2,D R U R2 U2 R D',D' B' U2 B2 U' B' D,D L B L' B' U' L' D',L' D U' B' U2 B D' L,U' B' U' R' U' B2 D2 L' F2 D2 B',F R F' L B F R' F R B' R' F2 L',59
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,L' F2 D' F' L' R',D B' R' U R' B R2 D',U B L' U B' L,D' B' U B D,B U' L U2 L' U B',F U' F' U' L' B' U B L,R' F' R B' L' R' F R F' L B F,53
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,F D' R' D2 F R,R F R2 U F' R',B2 U' B' U B2,D' U' B' U B D,D2 F U2 F' D2,U B U L B L B' L' U' B',L F2 R' D2 L D L U L2 D L' U' R,51
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,L2 F' U L' B,U F D R D' F',B U2 B2 U2 B,D' L U L' D,U F D' R U' R' D F',R B' D L D' L' B2 L B' R',F R B' R' F' R B R',47
