scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,L' R D2 U F U' L2 B F2,U2 B2 D2 F' L2 R2 U2 B' D2 F2 R2,F' L2 D B D B' F L' F' D' L2 F,,32
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,B2 R2 U B L' R' D2 U R2 B',D L2 U2 F2 L2 F' L2 D' F' U2 F',L' D' U L' D' B D' B' L2 U' B' L2 B D' L,F L B D2 F' D' F' D F2 D2 B' F' L',49
L R' B F D2 R2 U' L' F U L2 U L B D' L' R2 B U2 F B L2 R',x2,L' B U' R2 F L' U2 B D2,U2 B D F2 R' B' F2 D2 B D' B' U2,U2 R2 D2 L D L2 U' L' U L2 D R2 U2,F L B D2 F' D' F' D F2 D2 B' F' L',47
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,L' R' D F' U B D2 B2,D F2 L' F2 D' F2 D F' D' L F2,R' D' F R2 D' F2 R' B R U F U2 B' D F' R,,35
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,R D2 U R F' U2 R2 F,F2 U' B U2 L2 U' L2 F2 U' B' U,U2 R' D L2 B U2 B U R2 U B' L R U2 L U2,,35
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,D B D2 F R F' U' L F2,U2 B F' D2 R' D' R' F D' B' U2,D L2 R2 D F' D U' R2 U B' L2 D U2 L' B,,35
L F R2 B' D F2 R' U2 F2 R B2 F' U L F' D B D' L U D' F' L' B,x2,L D2 U2 F' R B F D',F2 U' F2 D F' L' F D2 L D U,B2 D' L' R2 U2 R' D' F' L2 F D L2 R' D2 L' B2,,35
D' L2 B' D' B' D U' F B' D B' R' B' D2 R' F' L2 R' U R',x2,B2 R D' U L' F L' U2 R2,F D L2 F' D F D' L2 D' F',D' B' L F' D B U' R2 F R2 U B' D2 F D B,F L B D2 F' D' F' D F2 D2 B' F' L',48
F' B2 L2 D2 U R U2 R B' F' D2 L U2 B' F2 R' B' D R2 F2 R2 D2 R',x2,F' U' L' R2 U R2 D B' L,B2 D L2 D2 U B D B L U' L B2,L2 B2 L B' L' F D2 F2 R2 F' R2 D2 B' L B' F',,37
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,D' F U B' L' R' B2 R2 B,D2 U2 R B L2 B' F L2 F' R' D2 U2,F2 L R' U L F D L' D' L' F' D' U' L' R,,36
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,B D L' U2 L' R2 U F2,F D' F' U F D F' U',L' D' B2 R' F' L' F R B L B U B D U',,31
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,R' B U B U B2 U F R,U' F L B2 U L' F2 L B2 L' F U,L' D2 L' F L2 F' R F2 R' D' L' D F L' F',F L B D2 F' D' F' D F2 D2 B' F' L',49
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,R F' U' R' U2 L2 U F2,F U' F2 L' F D2 L D U2 L' D2 U',D2 U' F' D L2 B F' R' F R B' L2 F D U,,35
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,L B R D B' R D2 R',D' L' D' B' U' F U F' L' B L D2,L' R2 F R B F U2 F' U R B2 D2 B D2 L D2,F L B D2 F' D' F' D F2 D2 B' F' L',49
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,D U2 L D' B2 R2 B2 R2,B' F' L2 U' B2 R2 D' R2 B' F' L',U2 F2 R2 U2 F U' R' B' F2 U2 B' L D F' L2 U2,F L B D2 F' D' F' D F2 D2 B' F' L',48
L R2 D' U F' R' L2 D' F2 U2 B2 U B' D U' L' B U B' U' L' D2 U2 B U,x2,U' L' B2 L2 D2 F U B2 D',F' L2 D' L' D' F D2 L',U' B2 R2 F' R' F2 R' B2 L D B' L' B2 D B' U,F L B D2 F' D' F' D F2 D2 B' F' L',46
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,D' F2 U R2 B D F' R B',L2 F D B' R U2 L2 F' U' R' B D,L U F' L' U' L' U L2 D2 R' B2 R D2 L2 F U',,37
D' R F2 R F' B U2 L2 R2 F U D B2 R2 F' D' R2 F2 R2 D2 F2 B2 D2 U' R',x2,R' B2 R2 F' D F2 L2 U',B2 D U' F R' U F' D2 L D L' B2,D B F D F D' F D2 B' R F L2 R' D' F,F L B D2 F' D' F' D F2 D2 B' F' L',48
U' R2 L' D F' B' L' U2 R U R L' B U D2 R2 B' F2 R D2 R D' R2 D2 F,x2,L2 B' R2 B2 L' F2 U',D' U2 L2 R' B D' L D B2 L2 R U2,L' R' B R2 D F' D R2 B2 L U' L U2 B R,F L B D2 F' D' F' D F2 D2 B' F' L',47
L U B2 L B' L' U' L' U2 B U' L R U2 L' B F D2 U' R U',x2,F2 R F' R B' L D' L',F' L B' F2 U L2 U' L B F' L',L D2 F' D2 F2 U B D' B' D2 U' F' D' F' L',F L B D2 F' D' F' D F2 D2 B' F' L',47
D2 R' B2 R U B2 U' B2 U2 F L' F U B R L2 F2 R' L' U' D2 L2 D2 R',x2,U' F U' B R' D B2 R B',F2 D F2 L' F' D F D' F2 D' F2,L R U B' L2 F U B U' F2 L' F U' R' F,,35
L R2 F R B L D B' D' F' L2 D R' U' D B' L F2 U' D B2,x2,F L D2 B R' B2 U F' U2,D' R' D' B2 L B2 L' D R,U2 R' F' L2 R2 D2 B' D' R D L2 F R2 B2 L' B2,F L B D2 F' D' F' D F2 D2 B' F' L',47
L' F D B' D' F B' U' D' R2 D2 B' U' D2 F B2 R L' D F2 U2,x2,L B' R U F' U2 R' U2,L2 U L D U' L' F' D' L2 F,U2 B D U' L F' D' L B' L' B' F U' F L' F',,34
L2 R2 F2 L U' F' B' L2 U2 F R' F2 U2 B U L R' D U2 F U2 L B2 L2 R,x2,D' U B' L2 R2 F2 L U',R D2 U2 L' D L2 D' L' D2 U2 R',U' F2 D L D2 F' R' B F R' D' B' R2 D' L' U,,35
U D2 F' R2 D' L U' B F U2 L2 B' F2 L R' D B F' D' R F2 L' F,x2,B' U2 F L D' U2 R2 U' B2,F D R' U L B' D' B U' L' R D',D2 L2 D R2 U' F L2 F' D2 U' R2 U' L U2 L U2,,37
L2 F2 B' L' D L F2 L D' R2 F' B2 R2 B' F R' U' F' L' R2 F' B R2,x2,B2 D2 F R U' L' B' U,R2 D' U2 L' D U2 R2 F' D2 L' D2 F,U' L U L U2 R2 D2 F D F' R U' R B' U' B',,36
F R2 L' U2 R2 U' F2 B R2 L B' L2 R B F' R2 L' U R2 B2 F' L',x2,L2 U L D2 F2 D B' R2 U',B F L' F' R2 D2 R F' L2 R B' U2,U2 L2 F' R B2 U B U' B' R' U2 R2 D2 L2 B' R2,F L B D2 F' D' F' D F2 D2 B' F' L',50
R2 F2 D' F2 D' B2 R' U' R2 D2 U2 R2 B' L F' L2 F2 D' B' U2,x2,F R U2 F2 U2 L' B' L' U,B2 U' R' D F D' R U B2,U2 F' L2 B' D' L' D F R2 D2 L' F' R2,F L B D2 F' D' F' D F2 D2 B' F' L',44
U' L' F2 R' L' U' D2 B' R' F' R' L' U' L2 R' D' R D2 F2 R' F,x2,U' B2 D U F D2,B D F R' F2 D' L2 F L B' U2,U2 R F' L R' B2 L B' R2 D2 R' D' L2 D2 F R',,33
L2 R B' L' B D F R B F' U2 F' B' L R D2 B' F2 U' B' R' U F B',x2,U' B2 F' U' L2 D F' R' B' F2,L B2 U F' D R2 F D' B L2 U' B,D B L2 R' U L' R2 F L' F' R2 U' R B' D',F L B D2 F' D' F' D F2 D2 B' F' L',50
