scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,R' D L' U F2 R' D,L2 D' L2 D F2 U2 B2 L' B L2 F2 D B,D2 L R' B' F' U' B U B' F L' D' R,,33
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D R2 F' R2 D2 F,L' D2 R2 B2 L' D L2 R B D2 R D' B,L R B' R B L' B2 D B R' B R2 D' R,B R B R2 F' U' B' U B F R2 B2 R',46
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R2 U' R D' L U' L,U2 B2 F' R2 B' F' R' D2 U2 B' L' U' B2 U',D' F L R B2 D' B' L B' L2 R' F' D2,,34
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' R U F' R2 F2 R,U' L2 D2 U' L' B R B' L U2 R D2 L2,R2 D B D2 B' D R2 D2 R B' L' D L R D2,,35
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,B2 L2 D F' L U' L U,F' D' U2 B2 D L2 D2 B' U2 L' B L' D2 B2,D' L2 D2 R' U' R2 D L B2 F L F' R F U2,,37
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R D U B' R D2 F2 L2,D F' U' F' R2 U' F L' B' F L R2 D2 F,B R' B' R B' L B L' D2 L U2 R2 U2 B' L',,37
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B R U2 L2 D U L U',D2 B F' L U2 L U2 L2 U2 B' U F D2,B2 D' B2 D' L B U2 B R2 B' R2 U' R U' L',B R B R2 F' U' B' U B F R2 B2 R',49
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,B2 R2 U' L' U' R' D' U',F2 R D' F R2 F L U L D2 F' U' L',D2 L' R2 F' R2 F' L2 B L U2 R' U2 L F2 L,B R B R2 F' U' B' U B F R2 B2 R',49
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R2 U' B2 L F D F,D2 B2 D' L' D R D' B' R' D' L R' D',D2 L R B L' B R2 B2 L2 F U2 F' L2 R2 D' R,B R B R2 F' U' B' U B F R2 B2 R',49
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D U B' U' F2 L R2 F,D B D B' D L' B D2 R B2 L B,U2 R' D B F' R D' R' F' R F2 D B' R F U2,B R B R2 F' U' B' U B F R2 B2 R',49
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,B U R B D F R U2,L2 D2 U L R F2 R F L' D2 L2 U,R D' R2 D' L2 B2 L2 D' L R D2 B L',,33
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U' B2 D L' U2 F R D,R F' D' L2 U' F' R' U L2 F D2 L2 R',D R2 D' B' D2 B F L B2 L' D F' R,,34
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,L2 B' F L U' B2 U' B',B' R' B2 L2 B R2 D' F' D' R' F R2 B2,R B D' F' R B2 U' B' U B2 F D R' B2,B R B R2 F' U' B' U B F R2 B2 R',48
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,B' R F2 D' R2 F D2 R2,U' B L2 B2 F' D L' B' D2 U B2 U' F U,D F D' F L R2 D L B2 R2 U L2,,34
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,R B' L' U2 R' B' U' L',L2 F D B L R B L F R' D2 U2 F' L,R' F2 L2 B2 U' L' R B' L2 U2 R2 F2 L,,35
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U2 L D' L' U' L2 R2,F2 D2 F' R B2 R2 D R2 U2 B L2 B R,D' R F R2 F' R D2 F D2 R D' F' D2,B R B R2 F' U' B' U B F R2 B2 R',46
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,B2 D' U F' D2 R F' R',R B U B2 R' D B D' F2 D' F2 R' U',R B' D R' D2 R D B2 R2 B2 D B D' R2 D,B R B R2 F' U' B' U B F R2 B2 R',49
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,L B2 U' L' F' D2 R' F',F' U2 F2 R' F D B' L' D F2 R2 B,R' F' R2 U2 L' B L2 R' F2 D' L' D' R D2 F',,35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,F' R' D2 L' U R2 F' U',R' B L2 R B' R U2 R F' R2 D' R U2,L' U2 L R D' L' F2 R2 F R2 F' R U2 L D2,,36
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,D2 B L F' L F' D2,R2 U B' L' F R' F' L2 U L' U' B R2,D L R2 U R' U' R2 B' L2 D' F' D R' F L R,B R B R2 F' U' B' U B F R2 B2 R',49
