scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,U' B' D2 F,R2 D2 B F2 D2 U' F2 L R2 U F L',F D L U' F' D F L D' L2 D' L' U L' F',U' L U2 L2 D' U' B' U B D L2 U' L',44
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L2 R2 B' D F,R2 D L R2 B2 L' D' U2 B2 R' U B R,B' R2 D B2 D' R' B2 L' D' L R B2 R B,U' L U2 L2 D' U' B' U B D L2 U' L',45
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R B2 D2 L2 D' B,U2 R' U' L2 D F L2 R2 B2 D' R' D,F2 L U2 F D2 L2 R U L2 R' D2 F' U2 L' F2,B2 F L2 F2 R' D' R F2 L' U L' U' B2 F',47
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U' F2 D' L' B',B2 U' R U' L' R' D2 L2 R' U' F L' U',L2 B2 U L' U F2 R D2 F' R' F' U' L U' L2,B2 F L2 F2 R' D' R F2 L' U L' U' B2 F',47
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L2 R U' L,B' R2 F' D2 B D2 L' B D U2 L F',F D' F' D R' F' L U R' U' L' F R,L' B' D F' R F' U' R F R' D R' D2 B F,44
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,B L' B U F',F U2 L2 U' F2 L' D' L F' U' L' F',D R D F D R2 F L U2 F' R2 F' R' D B2,D2 R' F U2 F' R D2 R' F U2 F' R,44
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R U' L' D L',U' R2 U2 B' R' U B2 R' F' U F U,F2 L B D U' F R B R' U F' D' B' U L' F2,R' F U2 F' R D2 R' F U2 F' R D2,45
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L U' B L2 D,L2 R' F2 D2 L D R2 B L R',D' F L D2 L2 B2 D' F2 U R B2 L U' L' F,,30
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 B L D,F' D L2 D' B' R B2 R B' U2 F,D2 F U2 L' R F U' F U L2 R' D L' U2 F',D2 R' U F U F' U2 R D2 F R' U R F',44
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L U B' L',R U2 L F2 L F' L2 R' D' L U' L' D,R' F2 L2 F' L F' D' B D F2 L F' L F' R,B' F' D2 R D' R F' R' U F R' F D' B L,47
