scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,R B2 U2 B' F2 D2,U2 B2 D' R F' D B2 R B2 R' U2,F L D L2 U R B' R B U L' B L2 R2,L2 D2 R2 B R2 D2 L2 F,39
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,R' D2 L' F U R B D',U B2 D' R' D R' B2 U2,L2 R D2 L' F U2 F' U' R U' F R2 F L',L2 D2 R2 B R2 D2 L2 F,38
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,B F D' L2 U2 R' B2 D2,L2 F' R2 D R D' R F2 L2,B2 U' B2 L' R D2 R2 B' L' R D L2 U B2,R' U B' F R2 B F' U R,40
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L2 F2 L R2 U' B D U2 L2,R2 D' R2 F' U2 B2 L D' U2 F2 D' R,B2 D B2 F L2 B' F' U' R F R2 B L2 F',R' U B' F R2 B F' U R,44
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,U B2 R2 F2 L B2 D L,L2 U' R B' D F2 D2 U R' D R',U' B' R B L2 B2 R D B2 R B' L2 R' U F',F' U2 F L R' D' F2 D L' R,44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,D L D' R2 U2 B2 F U L',F2 U L' F' U' L' R' F R U' L,R U' R2 F' U' F D' R U R' D R2,U R U' L' R' B2 R2 B R' B' R' B2 L,45
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,B2 U' F D U' B R' D,U' B' F' R2 F U2 F' U B U2,F2 D' R2 F2 R2 D2 L B L' D' F2 R2 B R' B',U B' F R' F' R B F' U' F,43
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D2 B2 L2 F' D2 L D2 F,D L2 D' R2 D' R F2 L' D2 R D',U2 L' B2 L U' L F L F D L2 U2 B R' U,,34
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,F2 U B' L' D' F R' U L',F' U' B2 R' B2 U L' U2 L,F D' F L' F L F' L2 B2 R' U' B2 L' D2 L',,33
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,D B' D' R' D' F D',L' U' B2 F2 D B2 F U' F L,U2 B U' L F' L' B R2 B L R2 F2 L' B2 U' R,F' U2 F L R' D' F2 D L' R,43
