scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L' B2 D' U L' B D2,D F' U' B' F2 U' F R2 B D' L' U2,L D F2 U2 L D2 B2 R B D B L2 B' L2,B' R D' R D R2 B R' F' U F R,45
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U2 B' L R2 B D2 L',R U' L' D2 R D2 R U R F' U,L U' L2 D' U B U' B2 U B D L U2 L2,B U2 B' U B F' U B U' F U B2 U,45
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 R' D L2 B F R,F D' R2 D' B' R D R D U2,L' U' L F R' B F' U2 B L B2 F R' F',U B F2 L2 F2 U R U' R' F2 L2 F2 U' B',45
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U2 R2 B' L D2 F2,F L R' F2 R B L' B' L' F' L,B F U B' F' D' L2 R F2 D' F2 L2 R' D,U B F2 L2 F2 U R U' R' F2 L2 F2 U' B',45
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F2 D' B' U B R',B2 U2 B' R F2 L U' F R F' D2,L2 B' U2 L' B2 L B L U' L' B2 L' B2 L',U' L U2 L2 D' U' B' U B D L2 U' L',44
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L2 F R' D2 L' D' F,R2 F2 D' R2 B' D L D2 B2 R2 D,B2 D' B D R' F R B R2 F R F2 U2 R,U2 F R F' R2 B R' F R B' F' R2 U2,45
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B2 D2 L2 F' L R2 D2,B L R2 D2 B L2 R2 F' U2 B',R F D R D L D' R2 D L B U' L2 D2,B R F' R2 B U2 B' U2 R B' R2 F R2,44
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U2 B R U2 F' U B F2,R2 D2 U L' F2 R' B2 D U2 B2,B' F2 R D' U R' D2 R U' F' R2 F2 D2 B F,B' R D' R D R2 B R' F' U F R,45
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,U2 L' D B F' U L2,B' D2 F2 L' U' L D2 R D' B R' U2,B2 U2 B F' D' F' R' B D' F D' F2 U2 R' F',B U2 B' U B F' U B U' F U B2 U,47
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F2 U L2 U R B F2,R' U' L B2 F' L R' B2 U2 R2 U,B2 L' B' U L U L2 U2 L2 B' U2 L F' L' F,B' R D' R D R2 B R' F' U F R,45
