scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,D2 L2 B2 L B2 D' B2,L' F' R B' U L D2 L' U2 L F U,F R U2 L D L D' B L2 U R' U,B' D' R B' F D2 B F' R D B,42
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L R' B' D F' D2 L,F2 R2 D2 L2 U L U R2 U2 F' R' U2 F2 L,B2 L2 B2 D' B' D B' L2 F U' B2 F',L2 D' U' L' D2 F2 D2 L' D U,43
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,R D2 F2 U' B' L B,L' R2 F2 U' R F2 L F' D' F2 R2 F' R F',D' R2 B' F2 L' F' L B D F2 R' F R',U R U' L' R' B2 R2 B R' B' R' B2 L,47
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,B' L' F2 U2 R' U' F2,R2 F' R F D F D' F2 L2 R B L2,D R' D L' D2 B' D2 B R B R' B' L D2,U' F U' L' R B U' B' L R' U2,44
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,F L' R2 U' R2 F2 U,U' L D' R2 D2 L2 U' L2 B2 F' L' D' U2,B D R' D U' B D2 U B',L2 D' U' L' D2 F2 D2 L' D U,39
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,R' D' R U2 L2 F U,B L2 D' L D2 U' B2 F2 D' B D' U B2,R' F2 U2 L2 F' L F R' F2 D2 R2 B' L' B',L2 F' D R' F D' L2 R2 U B' R U' B R2,48
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,F D' L D' F2 L R,U B L R2 B' U' L' B2 L2 B' D F' L' F,F' D B' D2 R' D2 B' D' F D B2 D',U R U' L' R' B2 R2 B R' B' R' B2 L,46
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,L U L B' U',U' B U' L R' B' R U2 R2 D R D',D2 R D R' D' F2 R' F2 D' L D' L',F D B R2 F' R' F' R F2 R2 B' F' D',42
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,L R B2 D B' D2 F2,U B' D U L2 F' D F U' L B R' U' R2,F' L2 R U2 L' B L U2 L2 B R B' R2 F,D2 B' D' U R2 D U' B' D2,44
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B2 R D2 B' R' U' R2,L2 B2 F' R' F U R2 U' L2 R' B' F R2 B D,B2 R D L B' L' R' B2 R' B D' B' R,B' D' R' B' F D2 B F' R' D B,46
