scramble,orientation,step_0,step_1,step_2,total_moves
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,D' R' B U' R F' U' B2 U2 B',D L F R' F R2 D' F D F L' D',D2 B F' R2 F' U' B F' L B2 F',33
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,F' R' F U2 B U2 L2 D F',R' B2 L' D2 L B' L2 F L2 B' R2,L F L' B U' B' F R F' L F' L',32
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,B2 L' U R2 F2 R D F' U L,U' R2 B' R' B R' U' R U R' U,B2 D' B F' R2 B F' U' F2,30
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,F2 U F2 D' B F R2 D B' R',U F2 L2 D2 B2 R' B2 R' B2 D2 L2 U,D2 L2 B' D B2 F2 U' F D2 R' B' F D',35
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,B2 D U F' L U2 F' D' B,L F R' F2 R' F2 R' F2 R2 F L',B2 D2 B D' L' F' D R' F L B D',32
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,B' R F' L2 U' L' B2 L' D B2,U2 B' F' R' D F D' R F R2 B R,F2 L2 B F R F2 D2 B L B F' D' B D,36
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,L' F2 U L2 R2 U L F' L2 F2,L' U2 L U B2 D U L U' B2 U,B2 F' U2 F' U' L' F' L2 B L D B F',34
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,L2 R B' D L2 R2 U' R' F D2,R' U2 B U R' F2 R F2 U2 L B' U' R,U R D' L' F' L' R U L2 R' D R' U',36
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,B' F' D' U2 L2 B U L B2 R,L' D2 U2 R B2 L D' B' D R' D2 L U2,D2 B L B L B' F' D' B' D' B2 F L2 D2,37
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,R2 B2 R' U L2 B' L F D2 R',B D B U2 B2 D' U B U B2 U2,L2 F U2 B2 L F2 D2 B' F' U B' F2 L2,34
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B U2 R' D' L' D' U2 F2 L2 R2,R2 B L B' F R U' R U B L' B',B F2 U' B2 F2 R2 D' B F' R U2 R F,35
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U' B2 R' B R' U L' D F',B2 U L2 D' L' U' F2 L D2 L2 B2 R U,U2 B R2 B2 D' B' F' U2 B2 R' F U2,34
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D F D2 U' F R2 D R' D2 R,L F D2 L R F' R2 D2 U' B' U R' F',B2 F D2 L' B' F U L2 U' B' F R F,36
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F2 U' L' B2 U' B2 D2 L B' D,B U F D F D' F U2 F2 R' F' R B',B2 L2 B' F' R' F2 U2 B2 L B F' D2,35
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U2 L' R2 B' L2 U2 F L U2 R',B D2 U R U2 R' D2 L U F2 U' L' B',U2 B' D B2 F2 R2 U' B' F R D2 R' F U2,37
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B2 L2 F U L D' R B' R D,U R' U2 R U2 B' R' D' R D R B U,B2 L' B' F' R2 B2 D' B D' B' F L B D2,37
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L F' R2 D U F R U' R2 D,D B F U2 F' U2 R' F' R B' D',R2 D2 F R2 D B F' R' U2 B' D2 R2,33
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D U B F R U F U L,D U L' B' L U' L' U' B2 U L D',D B L2 B2 D B2 L2 B' F' R F D',33
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U2 B R' D2 L R' D' U' B' L,L D2 R B R D' F D R2 B' D2 L',B' D L' B' L' B' F U B U L' B2 F',35
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,B2 R D2 U L F' D' U2 L',U2 B L2 D' B2 R' F' R' F2 U' R2 B,D' R' U' L' F' L2 R2 B L' R2 U R D,34
