scramble,orientation,step_0,step_1,step_2,total_moves
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D2 L F2 U2 F L2 D F R2 D',R' F2 U R' D' L2 F' D U' R2,F D' R U2 L2 F U F' L' U2 R' F D,33
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L' D' B R2 D2 F' U L2 F,F2 R' U' L R' B U2 B' L' F2 D' L2 D,F2 D U2 B2 D' R' D2 B2 D2 U F2 R F R' U,37
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L F U2 R2 D' L2 U2 F L,U2 F2 D R' U L' R2 B L D' F2,L' B' L' B2 D' B2 L' U' L2 U L B,32
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 L B2 R' D R' B U2 L' R,B F2 U' F R2 B D2 B F L' B2 D2,D' B D' F D' B' D L' B' L' B L2 F',35
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R2 U' F L' R' D2 F2 L' B,R U2 R' D U' R U' B' D L D2 R',F U' F' D' F2 L2 R' F R F' L2 U F2 L2 D,36
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F' L2 B F2 L' F2 D2 F',R' D2 B D2 U2 F' U2 F U F' R,D2 L' B2 U' L' U2 L B U2 L U2 L2 U' B D2,34
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U' F D2 U L2 B' U2 L B2,B' F2 R' B2 F' U2 B' F2 R' F' U F2,U' L2 B2 R' U2 R B' R2 D2 L2 F R2 B' U' L,36
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,R2 U' L F2 L' F R2 D' U2,F2 R F D B D' F' U F2 D B D',F D' L2 F2 U L U' F2 U' F D R' F' R U,36
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' F L U R D B L' D U',F U2 F R D U R B2 R' B2 D' F2,B D B' D2 L' B D B2 L2 B L' B' L' B D,37
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R2 F2 R' U2 B' U' F' L U',D' F' R2 B D2 R2 F' R B2 F2 L D',R U2 B2 R' B' R U F U' R' B D2 L U2 F2 D2,37
