scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,R D' F2 R' U2 F,F R D' L2 F2 D' B U2 L D2 U R,U L2 U' L2 B F' L' F L B2 L' B,D L' D2 L F L D L2 D' F' D2,D U B U2 L2 U2 B D' U' B2,51
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,F U2 F U L F,U' B2 L D' F L' B' L' R' B' L2 D,B F' D B' D2 U L U' L' U' F U,B2 D' L2 R D' L R' B L D B2,B2 U L' B U' L B2 F2 R' D B' R D' F2,55
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L D B' L' R2 B',F L' U' B R D U' R' F U B',L' F R F2 L' F' R' F2 L2,R' B2 D' B D U' L' U B2 R,D' L' D' B F' R D R' B' F D2,47
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,B2 L D' U B D2 L U',R2 F2 R F' U R' U2 R' F' U R2,F' L B' L2 B F U L2 U' L',F' R' D' R' F' U' R B U R F2,B2 U L' B U' L B2 F2 R' D B' R D' F2,54
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,U2 B U B2 L F' U2,L' B U2 R D' R' F U' R2 D L,L D' R2 U' B2 U2 L2 U' R2 F L' F,D2 F D L2 D' L' F' L' D2 L D',D' U' L2 U2 L U' L' U' L2 D F U F',54
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,U2 F U' B' D U F,B U F2 R U' B F2 U R F2 L',D L2 D' L R2 F' L F R2,F' D B' F L' B,,33
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,F L2 R' D2 B' D B',L2 D B2 R F2 L' B U' B2 D2 F2 R',F L F2 L2 D L F' D F2 D',U' F' D2 U L' D L D2 U' F U L',R U2 B2 D2 L' F2 D2 B2 R2,50
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F U2 L' R F D2 B2,L R D B2 F' U R D' R' D' R,L2 B D' B R' U B' R D B' L',L U2 R D' B' R' B2 R D B R' U2 L,R U2 B2 D2 L' F2 D2 B2 R2,51
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L U2 L F' L2 F',R F U2 L2 R U2 F2 D L2 B2 F',L D' R2 U2 B' U' B U' R2 D L2,L' B' L' B F' D F L,D' U' L2 U2 L U' L' U' L2 D F U F',49
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,D' U F U2 L' F,B2 U2 F' L' D2 F L D' U2 B2 D R',F2 D2 F D2 L D' L D2 L' D' F,B D' B' L' F' R' D R F L,B2 U L' B U' L B2 F2 R' D B' R D' F2,53
