scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,R2 B' L2 R' B L',D2 B F' U' F D2 L' B L U' B2 D' R' D,B F U2 R2 F R U' R U' F U' B' F2,L' B D2 B' L R' U B2 U' R,43
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D' L2 B2 F U2 L D R,L' D2 R B R2 B' F2 R' D' L D' B2,D R' D' F' R B2 U2 B' R' F R2 B' R2,L' U2 R2 B R2 U2 L2 F L',42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F' U B2 L2 D2 B,L U' B2 F2 L F L2 R U B' D2 B R',R U R' D R U' R2 D' F' R' F R,L F' L2 U2 R2 B' R2 U2 L,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L2 D R2 U R2 F L' D2,L2 F L F D U2 R' U2 L2 F' D' L F',F L D2 L' F' R2 F' R' U F' U' F2,B F' R B2 F2 D2 L B F' D' R2 D',45
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F U F2 L' B R' F D',R U F R2 F2 R2 B2 R' F R' U B',D' B2 F2 L' B2 F2 R D,D' R2 D' B F' R B2 F2 D2 L B F',40
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L' R B F R D' L' D F,B' F2 R' F L' U' F L2 F' L R U' F2,R B2 F' U2 B' R U' F' U2 R B' R' F2,D B' F L2 B F' D,42
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L U' R2 U' L B' D F,L2 U2 R' F R U L' D' R D L2 F L,R' F' R F D2 R2 D2 R2 B' D' B D' R2,B' D' B2 R F2 U2 B2 L F2 D' B,45
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L' B2 F' D' U2 B2 R U' F',L2 F R' D' R2 F2 D' L2 R' B R' B R,B2 U R' D R U2 R2 B R D' R U B2,L' B D2 B' L R' U B2 U' R,45
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L' D F L2 R' D L' F2,R2 U' R' U L F2 L2 B' L D B2 D' R2,R' D B' U2 B2 R' B' D F' L2 F D2 R,R' U' F U L2 R' B R D' R' B' L2 R2,47
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D F' L F D R2 B D,B2 F' R' U R F L B2 U' B2 L' B2,D2 F D' B U' F R2 U R2 F' U B' D' F',R2 D2 R F D R' B2 L2 B2 R F' D' R,47
