scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,R B,R2 U L B U B' L' F2 U R' F,U2 B R' F2 R' B R D B2 L' F' D2 F',D' B D2 B' R' B' D' B2 D R D2,U' L U L2 R2 D' L' D L2 R2,47
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' D L2 F2,F2 U' F R B R2 D2 F L2 D2,U2 B' R' U L F2 U R U' L',R' B' D' R' B2 R B D R D2,U' L U L2 R2 D' L' D L2 R2,44
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U F D' F2 D2 R,R B' L B' D2 R' U2 B U L2 B2,B2 D L' R2 U2 F2 R' D U2 L B2 F R F,F2 L2 D F2 R2 B2 U R2,U R B' L' R D2 L R' B' R' U',50
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' D' R D' L2,L' B2 R' F2 D' F L D B' R F',U B' R2 F2 L2 F' D' R2 B' U' L2 U' B L2,D2 R' B' L' R D L D2,U R B L' R D2 L R' B R' U',49
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L' R' D B2,B2 L U' B2 L2 B' L B F R2 F',D2 F' D' U F D U' R' F D2,R D2 L' D L R' B' L B2 L',B2 U' L' R B D' B' L R' U B',46
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B' R' D L2 F2 L',U R2 F' R D2 L B2 R2 B' L B',F' D2 U2 B R2 D B2 F2 U' R2,B' F D' B' D U' L U B F',L U' L' D' B2 U B U B' U2 B2 D U,50
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F' L' B' F2 D2,L U' B2 F' U2 R2 B L D' L B' F2,B' U2 B' L' B L B' U B2 R' U R2 B R',L' F' L2 U2 R2 B' R2 U2 L',D2 R' U' L' B L U R D B' D,51
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U B' U2 F2 U2 L',F' D F2 R' F D F2 R' U' R B2,B U R2 F' D L' F D' F R2 B' U' B U',L R' U' B U L' R B' D' B,L U' L' D' B2 U B U B' U2 B2 D U,54
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R2 D' R2 U R',R' D2 U' L2 D F2 U2 L' D R2 F R,U' R2 F D' L' D F' D2 R2 B U L B L',F2 L2 D F2 R2 B2 U R2,D2 R' U' L' B L U R D B' D,50
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L2 R' B' R2 D,L2 B D' R B L2 F2 R U F R2,U2 L' R' U R U' L U2 R' U R,B2 L B L' R' F2 L2 U L2 F2 R B2,L2 F' D R' F D' L2 R2 U B' R U' B R2,53
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U' B U F2 R',L U' F' D2 L D2 B' D' F2 R U' F',B R U B U' R' B' R' U' R,D2 L' F' D' L R2 B2 L' R2 F D L,U2 F' D' U L2 D U' F' U2,48
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,L2 B' F2 L' F2,B L' U L2 D' B2 F R B' L F',U B U2 L2 R2 D L2 U B' U B U2 R2,D2 L' D L R' B' R D2,U R B L' R D2 L R' B R' U',48
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R2 B' D2 L',B' F D2 U2 L B' L2 B F2 L2 B,U' B U' B L2 B' L2 B' U2 L' U' L' B2 L2,D' R2 B' U' B U R2 B D B',U R B L' R D2 L R' B R' U',50
