scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D U B L D' L' B2 F2 L,F' L2 B2 L' B' L D' L' B' L D L2 F,B F D' R2 D R2 B R2 F' U B U2 B,,35
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,L U' R2 D2 L2 U B F' U',B' R F' R' D2 B D' R F R F2 R2,D2 R D2 B D2 L2 B' R' D B L2 D B' D,L2 B L2 B' U L2 F' L2 F U2 B' U B,48
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L2 U2 R U2 F' L R U2,B' U' L' F' L' B2 U2 R2 D' B' F2 R2,L2 D L D' B R2 D F D F' D2 R2 B' L,L2 B L2 B' U L2 F' L2 F U2 B' U B,47
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,L' B U' F' R F2 R' B' U L,L2 B2 R2 F' L F R2 U2 B' U2 B' L2,B2 F2 U F2 U F2 U2 F2 U B2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,45
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,R2 D B' F U' B2 R' B R' D,U2 R B D B' R' D' B' D U2,L2 D L U R' B2 R U' L2 D L D L2,,33
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D2 U2 F2 D B' F' R U2 F2,B U B U' B2 L' R F2 L D R' D,L2 B F D2 B' F U L2 U' F2 D L2,L2 B L2 B' U L2 F' L2 F U2 B' U B,46
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,R' U L F' U2 F2 R D' B' F2,U2 L R B2 L' F' U R U' F D R' U2,R2 F2 D B R2 F D B2 L' F U B L' R2,,37
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,B L2 R2 B' R2 U' L' D' L,R' B2 R' F' R B' U2 B' R2 F D R',L2 R2 B' L2 F' L B L' B' F L' B R2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,U R' D2 F U B D' R' F2 U B',B' L' D2 L F L' D' F' D2 F D' B F' D,L' B' D2 R2 B' R2 D2 L2 U' F' L' U B,B' U' B U2 F' L2 F L2 U' B L2 B' L2,51
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D' R2 F' L D F' D L F' L2,R D F R B R' F2 U' R' U' F U B' D,B2 F2 U F2 U F2 U2 F2 U B2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
R' U L' F L' D R2 L U L2 B2 F' R B2 U2 R' U' D2 B2 L' U2 D' B D,x2,B' U2 B R2 B2 U' L U F2 R2,B' R' D2 L2 R D L' F L2 D' F2 L B,D2 L' U' L D2 L' U L,,31
F' R2 U' B2 F R U F' R L2 B2 F2 U2 R' B2 D2 B2 U B L F',x2,D2 F D2 B L D B D' R U2,U R' U2 R2 B2 D2 B2 D R2 U R U',L2 F D F' R2 B U' B U B2 L2 R2,,34
U' R F' L2 U B' L2 F2 U F' R D' U' R2 D' F' D F2 D' U' R' L U2,x2,L R' B F2 R' B R2 D' L2 U,B R' U' R' U' R2 B2 D' F' L2 B F,F L2 D' R' D2 R D' R' D' L2 R F',B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
R L2 B D' B2 R' D2 F2 R L F' R B D B2 D' U' B F' U',x2,U L2 R' F L' D B2 U F2,L' F' U' F' D2 U R D L R' D2 L D' F,B2 L' U2 L U' L' U' L U' B2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,46
F L2 R' F U R2 B' L' U2 F2 B2 U D' F2 L' F' B' R U' R U2 D R2,x2,D2 L' U2 B L2 R U B' D2 L2,R2 D R' D2 B R' U' R' U' R B' R2 D R2,D2 L F2 L' D L D' F2 D L' D,L2 B L2 B' U L2 F' L2 F U2 B' U B,48
B2 L F2 B' U B2 D' B R2 U' D' B L F2 D2 U2 L2 R D L' B D F',x2,R' B' R' F2 L2 U2 F R U R',D2 B F' R2 U' F R B' D' R F2 D' F2,L2 B' F' L' B L' B' L' B L2 F L2,,35
R' L D' U' F D B U D2 L R2 B2 L' B2 D F B2 D2 R U' B' L' B2 F' L2,x2,D' F' L R' U' B F D L F',R' B F2 U' F2 U2 R' U R U' B' R,L U L B' L B L' D L' D' U' L',,34
R L2 D' B' L U' D2 L' B' U2 L' B F U2 F2 D L U L' D2 F D' B U F',x2,B2 R2 B' L D' R U' F' D,B' L2 B' L B D L2 D2 F2 D2 B F2 D,D F2 D F' R2 B U' B' R2 F2 D' F D',L2 B L2 B' U L2 F' L2 F U2 B' U B,48
U2 D2 R2 F2 R2 D' R L D2 F D' R B2 D2 L2 F2 B' D' F2 L' U' F',x2,U' L' R' U B2 F2 D U R' B' R2,B F R D' F U F U F2 D R' B' F',L2 B' F2 L F L2 F R B' U2 B R' B L2,L2 B L2 B' U L2 F' L2 F U2 B' U B,51
R' L' F2 R2 B' D' U2 R2 D' R D L B' U R2 L2 F' L2 U' L2 R F L',x2,R' D F' R' B' R' F' U' R' B',B2 U' B' F2 U2 F U' B U F2 L' B2 F',F' L2 B2 D2 B2 D' B2 D' B2 D' L2 F,B' U' B U2 F' L2 F L2 U' B L2 B' L2,48
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,L' D2 L2 D' L2 F U2 R2 B2 R,B2 L' U L2 U' B L2 B' L' B2,U' B U F2 U' B' U F2,,28
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,D' U2 F2 U R D' B F' L2,U' L U' R B' R2 U L2 R' F L R2 U,B2 L' B U2 B U2 B' L2 R' U2 L' R,,34
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,B' F' R2 B' U' B2 U2 R B,R D2 R B R2 U F' U2 B U' F U' B2,L D2 F' R2 F2 R2 F' R2 F' R2 D2 L',B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,B2 L' F D2 R D B2 F U2 B,R F2 L' R' B D2 B2 L2 D2 B L,F L2 D' L' F2 R2 U' R' U R' F2 L' F',L2 B L2 B' U L2 F' L2 F U2 B' U B,47
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,L2 B' F2 U2 B D' R U2 R2 B',B' U L2 U' L B R D' B' L B D2 R',B' R U' L U L' U R' B' R U' R' B2,L2 B L2 B' U L2 F' L2 F U2 B' U B,49
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,B D2 F D' R' U2 L D' U' F,B' L D2 R' D R B2 R B' D2 F' R D' F',B' F' U B' U' F L2 B L B L' B2 L2 B2,,38
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,L2 U' L R2 F2 D' U2 F' L' U2,D' R' B U' R F D2 B' F L2 D' F2 D,B2 D R2 U' R' U2 R' D' L F2 L' B2,L2 B L2 B' U L2 F' L2 F U2 B' U B,48
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,D U' L' F' R U B' L2 R D',D' B' L F2 D B R' D R F2 D,L D L2 U2 L' D' L U2 R2 B' L' B L2 R2,L2 B L2 B' U L2 F' L2 F U2 B' U B,48
