scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,U B D2 L2 F2 L U2 B' F,L B U' B U B' U B' L',F D2 F' D U' B D B' U R' D R,D' R2 D2 B' D F D2 B D' F' R2 D R2,43
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,L2 R2 F' R D U F D',U' F2 U' B R' U R F2 U,R' U2 L2 F' D2 F L D L' D L2 U2 R,B' D' B' U' B' U2 F R2 F' U' B' D,42
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,F2 D' R2 D2 B' U2 R D2,U B U2 R U' R' U' B' U',F' U L' D L' D F D2 L2 F' U' F2,F D2 F' R2 B R B L B L' B R,41
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,R B L' D R2 B2 R U L',L2 F L D2 U' R' D2 U L,F' U L2 D F D' L2 F' U' F2,B L2 D2 B D2 L2 U R2 F R2 U2 B U B2,42
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,D' R B F L F2 U2,L2 U' R F' R' F R' U L2,U R' B F' R B' U' R B U F U',B2 L' D' L' U' L' U L' D B2 R D2 R',41
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,F R B2 D2 U' F' R U2,L2 F2 L R D' L' R' F L2,R' U2 B D R D2 R' D2 B' D' U2 R,D' F2 L2 D B2 D' B2 R2 U' L2 R2 F2,41
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,L2 D R B D' F' L D' U,B R' U R2 B2 U2 B2 U' R' B',B2 D R2 B' D' R2 D R B R D' B2,F' R' B R F R2 F' R B' R' F R2,43
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,U L' B2 U' B' U B' L2,R B' D2 B2 D2 B R' B2,B2 D R' D B R B' U R' D2 U' B2,B D B' D2 B L' B' D2 B D2 L D B',41
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,F R B2 F R D' L' B',B L2 U2 F U2 F2 L2,R' B D' B2 D2 B2 D B2 D B D' R,D' R' B F2 D2 B' R B R' D2 F2 R B' D,41
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,D L B' R' F D' L2 U' R',D2 R B2 R' B2 D' R' D',D R' B2 D' B2 D B2 R F D' F' D',B' D2 B D2 R D2 F D2 L D2 L' F' R',42
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,D' B2 F U2 R B' R U,D' L' F R F' D2 L R' D',B' U2 B D2 B' U2 B D2,D' F' D U B D' F D B' F' U' F,37
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,L' U L D2 L2 F' D L2,L2 R U2 R' F' L F' L B',R D' U' L B L' B' D U R',B' D' B D' R2 F2 U F U' F R2 D2,39
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,B' U F2 R' U2 B R2 D2,L2 F L D' R D' R' D2 L,R B R D R F D2 F' D' R2 B' R',D' B2 D' L B2 L' B2 D2 R' D' B2 D R,42
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,F D' L2 U' B' F' L' U2 R,B2 L2 F' R' U' L' U' R B2 L',F' R U' B2 U' B' U2 R2 F R,B' L' D L B2 R2 F2 L' U L F2 R2 B',42
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,F' R2 U' R2 F U' L' F',L' D F R F' D2 R' D L,B' D2 R2 B' R D' R D' B R' D' R,R2 D R2 B2 U B R2 B' U' B R2 B D',42
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,U' F R2 U R' D' L' F2 R2,D R D B D2 R B' R',B R' D R F D F' D' B',F' L B2 U2 L F' R B L2 D2 B R' F2,39
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,B L D F U F D2 B' D',R2 B2 L' F R2 F' L B2,D2 R2 F' R' D' R2 D R' F R2 D2,B2 L B L' B R' D2 F' R2 F D2 B R B',42
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,L' U' B' R F' R D' U' L',R U' B2 F' R B2 F U R',U2 B R D F D F' R' B' D' U2,L' U2 L D2 L' U2 L D2,37
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,F' L2 B R U' B' D F' U,L' R' U' R2 D' U L R',F' U2 B2 R B R2 U R U2 B U' F,B2 U B2 D' L R2 D' R2 D L' B2 U' B2 D,43
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D2 F U R' D2 F2 D2 B2 U,L' D' R D2 L' R' F L D' L,F2 U' R' F' R F D U2 L D' U' F,D R D' R2 B R' F' U R U' R2 F R' B',45
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,U R B L R2 B U2 B2 L2,B U' B' F2 U' B F2 U,B2 D R' U R' U' B' R2 B D' B2,R F L' F' R F L2 F' R2 F L' F',40
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,U' F2 L' F R2 B' U2 R' U2,L B R U' R' F' U2 F U2 B' L',B2 D R' D' R U R' U' B2,D' R2 D R2 B2 U B R2 B' U' B R2 B,42
