scramble,orientation,step_0,step_1,step_2,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D2 L2 F' D2 U R2 F2 L' F2 D2,L D2 B F2 U F2 U F2 U2 B' F2 D2 L',D2 L2 U L U' L' B2 U' B2 L' D L' D,36
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R' D F' R' B2 R2 B' L D2 R,R' B2 L2 F D' F U B2 R2 F2 U' F D R,F' D' R B' D' R' D2 R D2 B D R' F,37
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' F2 D2 B2 D2 R B2 D' L' R2,D2 R' D2 U L F D2 L' D2 R F2 R' U' F2,F R' U' F2 L2 B' U' B U L2 F2 R U F',38
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 F' D' B L B2 F2 L2 D B',R B2 D L2 F2 D' R' D2 R F2 D' B2 R' U,F' R' F2 R' F' R2 B L' U2 L B' F,36
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F2 R' B L' D2 F U' B D' B' R,B L2 U' B L D' B D' F' R' F' D2 B F2 U',U' B U' B' U2 R2 D' F' D R2,36
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,B2 U2 L2 F U' L' F2 D2 F U,U B L U2 F' L U2 L' F U2 B' F U',D2 U2 L2 F L U' F U F2 D2 U R' B' R U,38
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D L' F D2 L2 D' B' R' F2 L2,L B' D' F U' R B R U F2 D' F L' D U2,F' R2 F R2 U L B' R' D2 R B L' F' U',39
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,R2 U' R' B' R2 B2 R2 B' U' L2,L' U' L U B2 F L2 F L' D F2 L D' F2 L B2,D2 L2 U L U' L' B2 U' B2 L' D L' D,39
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L' D' B2 L R' F L' D2,B D B U F2 U' B' F2 R' F R D' B' R2 F' R2,F' R' B L2 F' L' F2 L' B' R U2 F,36
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U2 B F R B U2 L' B2 D2,D B2 F' D B F' D2 R2 B L2 U' L2 R F2 D',D2 U2 L2 F L U' F U F2 D2 U R' B' R U,39
