scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U2 L2 R B' L B,U2 F' U,D2 R2 U F2 U' R D',B U B D2 F2 L B' F2 U' B D2 B2,U2 L' U2 B2 U R U R2 U' R' U B2 L,41
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D' R U' L2 B,R2 F' U,R2 F2 R2 F' U F' U',U2 F2 L2 D B D' L2 F2 R' B' R' B R,R2 F R' F' L2 R' U R' B R B' U' L2,41
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F2 D L F2 R2 D,F U,U R' F R U L' B L,U' F2 L2 B D B D R D' R' B2 L2 F2 U2,D' B' D' L F2 L' D L F2 L' B D,42
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U2 R D2 F U L',F2 U2,R F2 R' D' F D2 R' D',L' B2 D' R D B R B L F' U' F U',L2 U B R' B' R U' L2 R F R F' R2,42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,B U' F' U2 L',R U',F' L' U L' R2 B L2 F',D F R' B2 F' R B2 U R' B' R2 B' D',R D2 R D R2 B2 L U L' B2 R D R',41
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F' U' L' U L',R2 F' U,L2 R2 B2 L R U' L,B' R' U' R' B R2 B' L2 R2 D F D' L2 U2,L U' L B F U' R U B F' U' B2 U L2,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L' B2 D F D',U,L2 B L' D L2 U' L,F L' R B' L F U R' U' B' R B F2,B L2 B2 D2 R2 B2 L' F' L' U2 B' R2 F2,39
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D2 R' D B' D B,R2 F' U,R' U2 R' F' R U' R F',D R B2 R' F R' F' R2 U2 B R' D',R F2 D L D L' D2 F2 U' B R' B' U R',43
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B D,R' F' U,R' U F2 U2 L2 D L2 F' R,F U2 L' R' B D' B' L' R D B D2 L2 B',F' D2 L D2 B2 R' B' R B' D L' D' F,41
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L' B' F2 U2 L',F2 R U',U2 R F' R F2 R2 U2,U2 B' U' R B2 D U' B' D' B' U2 B2 U' B',F' U B2 U' F2 U R U R U' R2 B2 U' F',43
