scramble,orientation,step_0,step_1,step_2,total_moves
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,R2 B' D2 L U' R2 F D' U',R' D' F U2 F' D R B L' B',U' B' U2 F2 R2 F D' F' D R2 F2 U' B,32
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,D2 L' F' R' U B D R2 B' F U2,B F' U B' U' B F L2 B',D2 R B2 U2 R' D' R D U2 B2 R' D2,32
R2 B F U R' U' L R U2 B' R U2 R' L' U R U' D2 B F' L' B2 F U' R,x2,R' D' R D2 R' B' R' D2,R' U2 R B2 D2 F2 D B D B,U2 B U L2 U L2 U2 L2 U2 L2 B' U2,30
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,R' U2 R U F D2 U B R',B' D' R D B2 L' U L2 U' L2 B' U',B F L2 D' L D L2 D' L D L' B' F',34
U' R F2 R2 B F2 D' U' F2 U B D' B2 L' D2 L' F' R2 D' L D' F,x2,B' R2 F' D U2 L B U' F2 U',B D F2 L F2 L' D' L2 U B' U',B U2 L' D' R B2 R' D L' U L' U' L' B',35
D' R' L' U2 D2 L2 R2 B' F' U2 B2 F' L D' B' U L R2 F L D2 L2 D F R,x2,F L U' R' D2 F' L D2 F2 D',D2 F U' B L F2 L' U B' R' F' D2 U,D2 L' B2 R B R' B2 R B R' B' L D2,36
L2 F' B U' D R U F R2 L D' B D' U2 F' U' R2 U' R' B F',x2,B D' F D U2 R2 U' L' U2 F',U B D U2 F D' U L B',D U' L D B' D2 F' D2 B D' F L' D' U,33
F L B' U2 L B R F' B2 U F2 R B L' U F2 B' D2 B U' D F' L' F2,x2,B' L' U F2 U R' U B' L' U,B D F2 D' U F' L F U L U2 B' U,R D2 R F' U' B' F2 L2 B F2 U F R2,36
F2 B2 R F2 B2 D' B L U' R D2 L2 U2 D L2 R2 B' L2 D' L2 B',x2,B' F R' U B' F U' L' F2 D',B2 D F' L F' U L' U' F D' L2 B2,D2 U' R2 U R B' U' R U B R' U R D2 U',37
B L U L2 U R2 F' L2 R' U' R D B R' B' U B F2 R2 U' R',x2,U2 B F' D' B' U' R F' L U',R' B2 D B2 L2 B D' B' L2 R,D2 R U R U' B' U F2 L D' L' F2 U' B D2,35
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,R D' R2 D2 L U R2 D,F2 U' R' F U B2 F L' D L2 D B2,U2 B' L2 U2 L B' R B2 L B R' F' L2 F,34
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,R2 U2 F2 R2 B D F R' B F,B2 F' D' L2 F' R F2 L2 R' D' F D B2,U2 R' D R U2 R' D' R,31
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,D' R F' D F' R D R B' U B,L2 B' L2 F2 U' B D R2 D' B' U,D R' B U' B' D' U B' D R D' B,34
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,R' D R' D B2 D2 B' D' L U2 B2,U' B' D' B2 R U R' D2 F D' B' L2 U,U' B U' F' D U L2 D' B2 U2 F U' B,37
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B' R B2 L2 D' B2 U2 L D U',B U B D' B2 U' B' D B,B' L R U' B R' B R B2 U L' R' B,32
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,R D2 B' L' F2 U B U2 L U2,U2 B D U F' L' U F2 L' F D' B' L,B D2 R' U R D2 U2 L U B2 U2 L' U2 B,37
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,F2 U B2 F' R U B D2 F,B2 R2 D F L2 F' L' D' R2 B2,B' R D' B2 D' B2 D' B' D B D' B2 D2 B' R',34
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,U B F D U2 B' L B,B2 L2 F' D' B' U B2 D B U' F,F U2 F' R' B2 D2 F' R' F' D2 B2 U' R U' L',34
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,D R2 U' B L F2 U' B D L',B L2 B2 D2 R D R' D B2 L2 B',L2 D2 B2 R2 F' L' D L' D' L2 F R2 B2 D2 L2,36
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,F R D U2 L F U B' U2 B,L' D B2 D' U R' D B' D' R' U2 L U,D2 R2 F R' B' R2 D R2 D' B F' R' U' R2 D2 U,39
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,U2 L B R F' L D U2 B' D',D' U R' D B R' U R U2 L B',B' D F' D B' D2 R' D R B R2 B R2 F,35
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,F' R' D U L R2 B' U2 R U',F2 R U' B L2 B' R2 U R2 U R' F2,D' F R' B R B' R F' D' F R' F' D2,35
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,U2 F2 D L' U' R' F U2 F2,B D2 F2 L' U' L U F2 D2 L B',R2 U' B' D2 B' U' F L2 B2 D' F' U R2 U,34
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,R2 B2 U2 R' B D L' R F D,U L' D' F' U' F' D L U' R2,R' F' R2 B' R2 B' D B D' B' F D' B2 R,34
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,L' R' D F L R U2 R2 B' R2,B' D' B' F L' D' L F' D B' L' B',D2 U B R' U' R2 U R B' R2 U' R' D2,35
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,R' F' U L2 D' F L U' R' F2,U2 F R2 F2 R F' R' F2 R2 F' U2,F2 D2 R' U2 R F' L F2 R' F2 L' F D2 U2 F2,36
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,D B' D L' B D' F' R',L2 D' B' R2 B2 R2 D' U R D2 U' L2,B F2 D2 R' B' R B2 U2 B2 D' F2 D' B' U2,34
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,R' U2 B' R' D2 U R' D',L D L2 D' L D U' L2 F' L' D' U,U L2 B' R B L R' B U' B' R2 U L U' R2,35
D2 R2 U2 L' B D2 B' F L' D' B2 R U L2 U' F2 L2 R D2 F L' U B L',x2,R2 F U F' L' B U' R' B R,U' L B' D F D' B L' U,R F' D' F' U2 F R' D R F D F2 U2 F2 R',34
